simulations,block_days,positive_probability,above_20_probability,median_return,p05_return,median_max_drawdown,p05_max_drawdown,hit_20_before_minus_10_probability
5000,14,0.0246,0.0,-0.1291467357263411,-0.2308478502033213,-0.1506108545615364,-0.2431873398712776,0.0
5000,30,0.0226,0.0,-0.12954340188667562,-0.2293882383804392,-0.15135647643847416,-0.2433245530130495,0.0
5000,60,0.016,0.0,-0.1337171510678617,-0.230069839459905,-0.15506055052081424,-0.24221781159346048,0.0
