scenario,period,total_return,annualized_return,max_drawdown,sharpe,calmar,annual_turnover,average_gross,max_gross,funding_pnl,total_costs,final_equity
low,development,-0.0883603179521758,-0.0452623387173239,-0.1782590669752789,-0.6199491742895241,-0.2539132482029708,17.38927987694705,0.2076368707281544,0.5879769044974503,156.07465324155396,701.6110176500251,9056.786650061373
low,validation_a,-0.0301509144338317,-0.0302324817102578,-0.0950368423367765,-0.2907659733642212,-0.3181132807750991,24.74644636895916,0.3613616485695176,0.7719533332053033,135.4714378286982,476.4574931441997,9675.974317366015
low,validation_b,0.0474106322933944,0.0474106322933944,-0.0471820886094286,0.6691616825471047,1.0048438653459733,23.90289460747192,0.367591956296052,0.7674892496935543,181.6030707366464,484.15109743392384,10498.780127615237
low,bridge_2025,-0.0441833896772051,-0.0443020433059853,-0.0853053897698136,-0.6727141670926317,-0.5193346331987823,23.15700542245842,0.3084203377030836,0.7281517995937626,58.11621118938309,445.3832466430432,9572.415657351088
low,final_2026h1,0.0663190551521168,0.1390662493961496,-0.015650434219083,2.4842347931637754,8.885775784200398,20.917355117391786,0.3251056816493962,0.6967146732847851,61.77748942966159,206.8135078187809,10547.01510204047
low,full,-0.0632785611405881,-0.0118237636965508,-0.2214731321187525,-0.1264438932200239,-0.0533868988235149,21.06253762594016,0.2936861609386885,0.7719533332053032,546.1995474715836,2133.631840891466,9305.964175705058
stress,development,-0.148798024637102,-0.0774958622310609,-0.2114181889010198,-1.103616475883527,-0.3665524836528724,17.38927987694705,0.2076368707281544,0.5879769044974503,151.3254657197659,1342.5651864590525,8451.250614971399
stress,validation_a,-0.0762156228566702,-0.0764167945692061,-0.1049709566984253,-0.8216251865218575,-0.7279803573549066,24.74644636895916,0.3613616485695176,0.7719533332053035,131.7477525445529,930.0485552496888,9209.751748912664
stress,validation_b,-0.0010799048211317,-0.0010799048211317,-0.0678513475544613,0.0220435817462503,-0.0159157461134422,23.90289460747192,0.367591956296052,0.7674892496935545,178.14914317853936,945.6376219078774,10008.4311782285
stress,bridge_2025,-0.0870816783441784,-0.0873101523624915,-0.1198643724269349,-1.3878543471109126,-0.728407871285629,23.15700542245842,0.3084203377030836,0.7281517995937625,56.62420387312313,870.7429440834059,9140.162841347192
stress,final_2026h1,0.0454307810828515,0.0942751735268343,-0.0197156220708009,1.731371979852452,4.781749882822977,20.917355117391786,0.3251056816493962,0.6967146732847851,61.0304304928557,409.4192755639013,10331.550430390917
stress,full,-0.2562844737060361,-0.0524504188769007,-0.3375063785852105,-0.6996712135121558,-0.1554057114320834,21.06253762594016,0.2936861609386886,0.7719533332053032,489.6175458521925,3809.66358264067,7384.059812920404
severe,development,-0.2579596987929656,-0.138758643163963,-0.2815654737684133,-2.0584320106888394,-0.4928112857973898,17.38927987694705,0.2076368707281544,0.5879769044974503,142.37061766227728,2499.756174117858,7358.516314528401
severe,validation_a,-0.1619271071645306,-0.162333727562222,-0.1753350236343239,-1.8612138263475897,-0.9258488361160678,24.74644636895916,0.3613616485695176,0.7719533332053035,124.64551475013208,1772.935988929367,8343.186549606882
severe,validation_b,-0.0914759949948538,-0.0914759949948538,-0.1311489572520772,-1.2453801540888267,-0.6974969295335741,23.90289460747192,0.367591956296052,0.7674892496935544,171.52099800760013,1804.7646616535555,9094.905962292542
severe,bridge_2025,-0.1672260880984591,-0.1676446418629151,-0.1885784217238032,-2.7967489191715464,-0.8889916477742708,23.15700542245842,0.3084203377030836,0.7281517995937624,53.78122988303407,1665.226678256266,8332.955909152071
severe,final_2026h1,0.0048564297303133,0.00987233810372,-0.0416617420761997,0.2118036797952733,0.2369641213193486,20.917355117391786,0.3251056816493962,0.696714673284785,59.56994092222094,802.3422796575778,9913.543408652771
severe,full,-0.53128918722843,-0.1287961257192611,-0.5585962369314812,-1.827575676315759,-0.2305710586715957,21.06253762594016,0.2936861609386886,0.7719533332053033,398.22106548597696,6184.737945977491,4648.01730709929
