open_time,net_return,equity,desired_leverage,raw_target_leverage,close_gross,meta_turnover,transfer_cost,financing_cost,extra_underlying_cost,risk_reduction,scheduled_rebalance,guard_active,guard_age_days,drawdown_open,market_state,momentum20,momentum60
2021-01-01 00:00:00+00:00,0.003189238073451728,10031.892380734516,0.97,0.97,0.9701243804632943,0.97,9.700000000000001,0.0,0.0,0,1,False,8,0.0,0,,
2021-01-02 00:00:00+00:00,0.06354456258952612,10669.36459401349,0.97,0.97,0.971909386228289,0.0,0.0,0.0,0.0,0,0,False,9,0.0,0,,
2021-01-03 00:00:00+00:00,0.044795842564490096,11147.307770630063,0.97,0.97,0.97311377723062,0.0,0.0,0.0,0.0,0,0,False,10,0.0,0,,
2021-01-04 00:00:00+00:00,-0.008943983384101073,11047.606435152087,0.97,0.97,0.9728711371318981,0.0,0.0,0.0,0.0,0,0,False,11,0.0,0,,
2021-01-05 00:00:00+00:00,0.04109102848927204,11501.563945917187,0.97,0.97,0.973941891606281,0.0,0.0,0.0,0.0,0,0,False,12,-0.008943983384101073,0,,
2021-01-06 00:00:00+00:00,0.061450106877291244,12208.336279649797,0.97,0.97,0.9754504632625832,0.0,0.0,0.0,0.0,0,0,False,13,0.0,0,,
2021-01-07 00:00:00+00:00,0.03459273696825482,12630.656045391725,0.97,0.97,0.9762713038085342,0.0,0.0,0.0,0.0,0,0,False,14,0.0,0,,
2021-01-08 00:00:00+00:00,0.014651436897609837,12815.713305416195,0.97,0.97,0.9766139431448316,0.0,0.0,0.0,0.0,0,0,False,15,0.0,0,,
2021-01-09 00:00:00+00:00,0.003470344796179692,12860.188249394976,0.97,0.97,0.9766948201544328,0.0,0.0,0.0,0.0,0,0,False,16,0.0,0,,
2021-01-10 00:00:00+00:00,-0.02977775070723465,12477.240769656384,0.97,0.97,0.9759795450345986,0.0,0.0,0.0,0.0,0,0,False,17,0.0,0,,
2021-01-11 00:00:00+00:00,-0.056451765061130366,11772.878505116585,0.97,0.97,0.9745424196920282,0.0,0.0,0.0,0.0,0,0,False,18,-0.02977775070723465,0,,
2021-01-12 00:00:00+00:00,-0.02239829548954586,11509.186093596461,0.97,0.97,0.9739591490169097,0.0,0.0,0.0,0.0,0,0,False,19,-0.08454850918139123,0,,
2021-01-13 00:00:00+00:00,0.06171302912699339,12219.452830218568,0.97,0.97,0.9754727970094681,0.0,0.0,0.0,0.0,0,0,False,20,-0.10505306217909172,0,,
2021-01-14 00:00:00+00:00,0.032152567858338976,12612.339616533942,0.97,0.97,0.9762368435110087,0.0,0.0,0.0,0.0,0,0,False,21,-0.04982317573823636,0,,
2021-01-15 00:00:00+00:00,-0.03740574967970556,12140.565597962439,0.97,0.97,0.9753134236142753,0.0,0.0,0.0,0.0,0,0,False,22,-0.01927255091873903,0,,
2021-01-16 00:00:00+00:00,-0.0006281230554098238,12132.939828804643,0.97,0.97,0.9752979076605601,0.0,0.0,0.0,0.0,0,0,False,23,-0.05595739638308894,0,,
2021-01-17 00:00:00+00:00,0.0014616155792013252,12150.673522679937,0.97,0.97,0.9753339599290051,0.0,0.0,0.0,0.0,0,0,False,24,-0.05655037130770979,0,,
2021-01-18 00:00:00+00:00,0.011593106683360777,12291.537577103052,0.97,0.97,0.975616638836275,0.0,0.0,0.0,0.0,0,0,False,25,-0.05517141063222142,0,,
2021-01-19 00:00:00+00:00,-0.004348559570268806,12238.087093738823,0.97,0.97,0.9755101432352662,0.0,0.0,0.0,0.0,0,0,False,26,-0.044217911998191584,0,,
2021-01-20 00:00:00+00:00,-0.0033164175962100417,12197.500486357196,0.97,0.97,0.9754286543923304,0.0,0.0,0.0,0.0,0,0,False,27,-0.04837418734406329,0,,
2021-01-21 00:00:00+00:00,-0.06202941462406819,11440.896671311672,0.97,0.97,0.9738037141134638,0.0,0.0,0.0,0.0,0,0,False,28,-0.05153017593416309,0,,
2021-01-22 00:00:00+00:00,0.03388154216702821,11828.531894309332,0.97,0.97,0.9746621979229569,0.0,0.0,0.0,0.0,0,0,False,29,-0.11036320390956,0,0.14477781967881653,
2021-01-23 00:00:00+00:00,-0.0064205048770961115,11752.586747593032,0.97,0.97,0.9744984651943639,0.0,0.0,0.0,0.0,0,0,False,30,-0.08022093728948176,0,0.11178455154914113,
2021-01-24 00:00:00+00:00,0.015678763980885524,11936.852781373425,0.97,0.97,0.9748921256306625,0.0,0.0,0.0,0.0,0,0,False,31,-0.08612638324746547,0,0.055798429658162174,
2021-01-25 00:00:00+00:00,-0.007386090057816652,11848.686111723302,0.97,0.97,0.9747052966739103,0.0,0.0,0.0,0.0,0,0,False,32,-0.07179797450204439,0,0.08273677261870471,
2021-01-26 00:00:00+00:00,0.004461704360411378,11901.551446213123,0.97,0.97,0.9748176528619416,0.0,0.0,0.0,0.0,0,0,False,33,-0.07865375825422005,0,0.03098791829407066,
