timestamp,open_binance,close_binance,open_hyperliquid,close_hyperliquid,funding_binance,funding_count_binance,funding_hours_binance,funding_max_jitter_seconds_binance,funding_hyperliquid,funding_count_hyperliquid,funding_hours_hyperliquid,funding_max_jitter_seconds_hyperliquid,asset,funding_complete,price_complete,basis_bps,funding_spread
2023-05-01 00:00:00+00:00,0.07946,0.07974,0.079455,0.078826,7.382e-05,1.0,8.0,0.008,,,,,DOGE,False,True,-0.6292672185327396,
2023-05-01 08:00:00+00:00,0.07884,0.07887,0.078835,0.078285,9.191e-05,1.0,8.0,0.014,,,,,DOGE,False,True,-0.6342159507422824,
2023-05-01 16:00:00+00:00,0.07829,0.07863,0.078295,0.078765,8.964e-05,1.0,8.0,0.015,,,,,DOGE,False,True,0.6386307758342333,
2023-05-02 00:00:00+00:00,0.07875,0.07871,0.078755,0.078515,0.0001,1.0,8.0,0.018,,,,,DOGE,False,True,0.6349004795634879,
2023-05-02 08:00:00+00:00,0.07849,0.07844,0.078495,0.078625,6.72e-05,1.0,8.0,0.0,,,,,DOGE,False,True,0.6370035355839745,
2023-05-02 16:00:00+00:00,0.07863,0.07832,0.078635,0.078705,5.928e-05,1.0,8.0,0.009,,,,,DOGE,False,True,0.6358693926410001,
2023-05-03 00:00:00+00:00,0.07872,0.07829,0.078725,0.078215,0.0001,1.0,8.0,0.003,,,,,DOGE,False,True,0.6351424309052418,
2023-05-03 08:00:00+00:00,0.0782,0.07831,0.078205,0.077665,4.495e-05,1.0,8.0,0.011,,,,,DOGE,False,True,0.6393657493924951,
2023-05-03 16:00:00+00:00,0.07765,0.0779,0.077655,0.079584,0.0001,1.0,8.0,0.0,,,,,DOGE,False,True,0.6438942727833662,
2023-05-04 00:00:00+00:00,0.07959,0.07961,0.079576,0.07923,0.0001,1.0,8.0,0.0,,,,,DOGE,False,True,-1.7591696764511564,
2023-05-04 08:00:00+00:00,0.07925,0.07916,0.079255,0.078145,5.805e-05,1.0,8.0,0.011,,,,,DOGE,False,True,0.630894924659413,
2023-05-04 16:00:00+00:00,0.07813,0.07843,0.078135,0.078326,0.0001,1.0,8.0,0.002,,,,,DOGE,False,True,0.6399385661157221,
2023-05-05 00:00:00+00:00,0.07833,0.07828,0.078335,0.078655,0.0001,1.0,8.0,0.0,,,,,DOGE,False,True,0.6383046630338172,
2023-05-05 08:00:00+00:00,0.07866,0.07848,0.078636,0.078575,0.0001,1.0,8.0,0.0,,,,,DOGE,False,True,-3.0515715830332564,
