scenario,period,total_return,annualized_return,max_drawdown,sharpe,calmar,annual_turnover,average_exposure,rolling_365_positive_share,rolling_365_worst
low,validation,0.5303936421679889,0.2370907978673144,-0.1131387670255358,1.4324984040409194,2.0955752312008333,4.388256392542418,0.280175484122151,1.0,0.1249962330038934
low,research_holdout,0.0532289494704874,0.0353425645111127,-0.0829233411818629,0.3784749148429138,0.4262076757568335,2.888696277603548,0.1685025487683558,1.0,0.022849388851063
base,validation,0.5236921421933289,0.2343792537925,-0.1139450125755988,1.4185057679389157,2.056950528106677,4.388256392542418,0.280175484122151,1.0,0.1223247543267165
base,research_holdout,0.05112773940611,0.0339587741598537,-0.0836799225004369,0.3659345476929392,0.4058174666650339,2.888696277603549,0.1685025487683558,1.0,0.0214965538071656
stress,validation,0.510376149807636,0.228973616400139,-0.1155553861718449,1.3905073450390346,1.981505354147901,4.388256392542418,0.280175484122151,1.0,0.1170003723627117
stress,research_holdout,0.0469375890358685,0.0311965431140273,-0.0851912845748962,0.3408524138142053,0.3661940686737827,2.888696277603548,0.1685025487683558,1.0,0.0178863832111197
severe,validation,0.4971753395174254,0.223591165184444,-0.1171629403979235,1.3624923710093548,1.908377891721184,4.388256392542418,0.280175484122151,1.0,0.1117006641038198
severe,research_holdout,0.0427637465014338,0.0284414301446767,-0.086700248953063,0.3157697071786254,0.3280432350323936,2.8886962776035485,0.1685025487683558,1.0,0.0142886092056742
