name,family,carry_budget,convex_budget,contango_threshold,crisis_threshold,spike_threshold,confirm_days,hold_days,worst_up_shock_return,worst_down_shock_return,worst_synthetic_overnight_return,max_synthetic_gain,prefinal_cagr,prefinal_total_return,prefinal_max_drawdown,prefinal_sharpe,annual_turnover,liquidations,min_margin_buffer,validation_2011_2014_return,validation_2015_2018_return,bridge_2019_2020_return,gate_prefinal_cagr,gate_prefinal_sharpe,gate_prefinal_drawdown,gate_turnover,gate_validation_2011_2014,gate_validation_2015_2018,gate_bridge_2019_2020,gate_synthetic_shock,gate_zero_liquidations,gate_positive_margin,eligible_before_stress,stress_prefinal_cagr,stress_prefinal_max_drawdown,stress_liquidations,stress_min_margin_buffer,gate_stress_cagr,gate_stress_drawdown,gate_stress_zero_liquidations,gate_stress_positive_margin,eligible_before_2021,score
defensive_ca02_cv06_c03_b00_h3,defensive_switch,0.02,0.06,0.03,0.0,0.15,2,3,-0.005,-0.03,-0.03,0.06,-0.013892085821441302,-0.18920597834272757,-0.22804522855038656,-0.30544144636055365,2.7268613579898875,0,0.8664566929133858,-0.05497874378558154,-0.04631246266492295,-0.025278562923590764,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.4820168458585284
switch_ca08_cv04_c02_s20_h3,carry_convex_switch,0.08,0.04,0.02,0.0,0.2,2,3,-0.02,-0.02,-0.02,0.04,-0.010228058143452956,-0.14284509389860467,-0.1976096827459145,-0.3204299205559613,4.42248750391111,0,0.8503763688634318,-0.06149993099333684,-0.054149944078809686,-0.014356956923350928,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.4889157532549356
switch_ca08_cv04_c04_s20_h3,carry_convex_switch,0.08,0.04,0.04,0.0,0.2,2,3,-0.02,-0.02,-0.02,0.04,-0.0103781294309645,-0.14479154399535032,-0.19900466448023357,-0.32647194681921843,4.03516109493474,0,0.8503763688634318,-0.062044166861339956,-0.05539615836894063,-0.01187973291797395,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.49208214887061164
carry_b04_c04_q3_h7,carry_only,0.04,0.0,0.04,0.0,0.15,3,7,-0.01,0.0,-0.01,0.003000000000000001,-0.0012364166552351064,-0.01837782066995819,-0.029174076867663823,-0.47357043061109466,1.1346109974453098,0,0.8751881844317159,-0.00748315399695354,-0.01619738703343454,0.0023421250235908797,False,False,True,True,False,False,True,True,True,True,False,,,,,False,False,False,False,False,-0.5044764123298499
switch_ca04_cv04_c06_s20_h3,carry_convex_switch,0.04,0.04,0.06,0.0,0.2,2,3,-0.01,-0.02,-0.02,0.04,-0.01084220132502045,-0.15078456487948855,-0.18027028896794484,-0.3697347837000579,2.402838895077433,0,0.8776377952755906,-0.05151373848902774,-0.0414774294911916,-0.010148766184978064,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.5105827197848456
defensive_ca04_cv06_c05_b00_h3,defensive_switch,0.04,0.06,0.05,0.0,0.15,2,3,-0.01,-0.03,-0.03,0.06,-0.014792227587692608,-0.20023171572982013,-0.2371980939385111,-0.3264123830393309,3.2277579377570262,0,0.866456692913386,-0.0626846190643624,-0.05171132020784153,-0.024891746840467688,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.5143734645615419
defensive_ca04_cv06_c03_b00_h3,defensive_switch,0.04,0.06,0.03,0.0,0.15,2,3,-0.01,-0.03,-0.03,0.06,-0.014841878692161803,-0.20083579547131458,-0.2362728625641708,-0.32742611017696416,3.454515800751285,0,0.8664566929133858,-0.06000964324099334,-0.05292348226946664,-0.02542733151177301,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.517291456850886
carry_b08_c04_q3_h7,carry_only,0.08,0.0,0.04,0.0,0.15,3,7,-0.02,0.0,-0.02,0.006000000000000002,-0.0024799101555774694,-0.03654252026275795,-0.05757129103738512,-0.47392912495634804,2.2699675079154122,0,0.8503763688634319,-0.014939803138356411,-0.032170870079220815,0.004670475354609849,False,False,True,True,False,False,True,True,True,True,False,,,,,False,False,False,False,False,-0.5353742658653496
carry_b04_c02_q3_h7,carry_only,0.04,0.0,0.02,0.0,0.15,3,7,-0.01,0.0,-0.01,0.003000000000000001,-0.0014265508680056938,-0.021175807862821916,-0.03235478896460475,-0.5174802445681564,1.3026881236871113,0,0.875188184431716,-0.008183491046465985,-0.01636556260981381,0.002873161566938176,False,False,True,True,False,False,True,True,True,True,False,,,,,False,False,False,False,False,-0.5520376220233413
switch_ca04_cv08_c02_s20_h3,carry_convex_switch,0.04,0.08,0.02,0.0,0.2,2,3,-0.01,-0.04,-0.04,0.08,-0.019318898143320218,-0.2535885811564559,-0.3154909774976795,-0.3142224315189968,4.15906634331382,0,0.8552755905511811,-0.09111399430790268,-0.07312295395809065,-0.027432689147766642,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.5621963799876153
switch_ca04_cv08_c04_s20_h3,carry_convex_switch,0.04,0.08,0.04,0.0,0.2,2,3,-0.01,-0.04,-0.04,0.08,-0.019394001498200475,-0.2544451440503561,-0.316783448392854,-0.3157021781539435,3.965431583008805,0,0.8552755905511811,-0.0913793615946824,-0.07373577390583053,-0.026214129749689508,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.5625362211768595
carry_b12_c04_q3_h7,carry_only,0.12,0.0,0.04,0.0,0.15,3,7,-0.03,0.0,-0.03,0.009000000000000001,-0.003730461333255608,-0.05449354513317961,-0.08521001042167065,-0.4742885734923245,3.406073043211239,0,0.8255645532951478,-0.022369708312957926,-0.04792286871149265,0.006984904961339744,False,False,True,True,False,False,True,True,True,True,False,,,,,False,False,False,False,False,-0.5659152318017835
defensive_ca02_cv10_c05_b00_h3,defensive_switch,0.02,0.1,0.05,0.0,0.15,2,3,-0.005,-0.05,-0.05,0.1,-0.02331180511236919,-0.29787723893570384,-0.35408857154773143,-0.29513835592555004,3.9320400047024684,0,0.8440944881889764,-0.08975385178490702,-0.07532267353477184,-0.04381878200660583,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.5706266519711787
defensive_ca02_cv10_c03_b00_h3,defensive_switch,0.02,0.1,0.03,0.0,0.15,2,3,-0.005,-0.05,-0.05,0.1,-0.023336236194730575,-0.2981405117100907,-0.3536954615228016,-0.2954658790147419,4.04540371546936,0,0.8440944881889764,-0.08845543556330815,-0.07591326905278328,-0.044080780564153876,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.5719401193202974
switch_ca04_cv08_c06_s20_h3,carry_convex_switch,0.04,0.08,0.06,0.0,0.2,2,3,-0.01,-0.04,-0.04,0.08,-0.020524517265196773,-0.26722847933602045,-0.3176398977951217,-0.33767403096933835,3.6978983374819525,0,0.8552755905511811,-0.09145934441123282,-0.0728607885719148,-0.024301110149822502,False,False,False,True,False,False,False,True,True,True,False,,,,,False,False,False,False,False,-0.5845219977721123
