block_days,horizon_days,median_return,p05_return,probability_positive,median_max_drawdown,p05_max_drawdown
10,252,-0.017298576140775124,-0.055973427163792284,0.257,-0.03250301668155148,-0.0656861107971784
10,504,-0.030767063954067975,-0.08652135841233193,0.239,-0.053788335920285035,-0.09810147510226212
21,252,-0.017688510835636773,-0.05585325213249333,0.26033333333333336,-0.032262396419514894,-0.06514686615291616
21,504,-0.0314655843448185,-0.08486102916019649,0.22966666666666666,-0.05367402949275363,-0.09427843509952356
63,252,-0.018656424895715562,-0.054373102967378614,0.25533333333333336,-0.033072283799433944,-0.061240760821595755
63,504,-0.032314348816387284,-0.08463241178363089,0.24166666666666667,-0.05518206452002716,-0.09460478963014315
