date,equity,daily_return,gross,net,turnover,trading_cost,forced_cost,overnight_pnl,intraday_pnl,min_margin_buffer,liquidated_notional
2004-03-26,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-03-29,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-03-30,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-03-31,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-04-01,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-04-02,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-04-05,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-04-06,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-04-07,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-04-08,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-04-12,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-04-13,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-04-14,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-04-15,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-04-16,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-04-19,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-04-20,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-04-21,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-04-22,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-04-23,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-04-26,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-04-27,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-04-28,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0
2004-04-29,9992.418070487432,-0.0007581929512567864,0.020471766206402463,-0.0001583129830446649,0.02,6.0,0.0,0.0,-1.5819295125682882,0.7893563029779592,0.0
2004-04-30,9985.746284858296,-0.0006676847968202226,0.03431577265102745,-0.00032095836652890086,0.013083914265760175,3.9223770712982886,0.0,0.4556002583214436,-3.205008816160177,0.782227240223974,0.0
2004-05-03,9985.595808661441,-1.5069098749598275e-05,0.03279788361098736,3.9932511215895255e-05,0.0005263290894318082,0.15766747982122242,0.0,-0.39155863366090005,0.39874991662676074,0.7832353442399456,0.0
2004-05-04,9988.367781910456,0.0002775971811928013,0.03309170051748164,0.0003180361339174626,0.0007204082471189456,0.2158070850341198,0.0,-0.1888815394548018,3.1766618735045555,0.7831413679879737,0.0
2004-05-05,9961.972769681446,-0.002642575123916968,0.0325384705744156,0.0325384705744156,0.06606849416810318,19.800658086952986,0.0,1.597095333776323,-8.19144947583347,0.7829029733959311,0.0
2004-05-06,9978.772071122894,0.001686342838897792,0.03453658151067907,0.03453658151067907,0.0003594189285271651,0.10746401574248161,0.0,4.485793760575474,12.420971696614362,0.7833333333333333,0.0
2004-05-07,9994.163816838221,0.0015424488710258366,0.03474581095698047,0.03474581095698047,0.0013176870345127378,0.39451372007818136,0.0,1.1829496853918968,14.603309750014988,0.7829342455340175,0.0
2004-05-10,10012.51661028405,0.0018363510727037458,0.03429270194591146,0.03429270194591146,0.0022908964514803953,0.6874934784909689,0.0,9.103361922087403,9.936925002231366,0.783164803973745,0.0
2004-05-11,9995.299796408479,-0.00171952911997042,0.03244598220590313,0.03244598220590313,0.00018859781368427142,0.05660498349485138,0.0,-7.985029019650254,-9.17517987242685,0.7828306878306878,0.0
