audit,period,total_return,annualized_return,max_drawdown,sharpe,annual_turnover,average_gross,max_gross,costs,liquidations,min_margin_buffer,observations_per_year
base,development_2006_2010,0.2295213300040515,0.042266646463754665,-0.056015735445697046,0.3618599709818749,1.6411381244547965,0.024114596584525694,0.038941121557644856,174.8543774035374,0,0.8843,252.24372325836532
base,validation_2011_2014,-0.029689313388405747,-0.007521659040004236,-0.06931363903238053,-0.35020440503213024,1.6094416196183348,0.026684266122983115,0.04002916514764856,141.94379028819185,0,0.8867280453257791,226.46037037037036
base,validation_2015_2018,-0.07311611828379194,-0.018827874749177798,-0.09598113348755033,-0.6397303976999901,2.066231110586279,0.02615550789436189,0.06624133977969397,170.95497611478424,0,0.8813648293963254,252.34026045236465
base,bridge_2019_2020,-0.026223740392873007,-0.013225684907166801,-0.049430072104838185,-0.47740845319281056,1.7059848341930894,0.024157638878027084,0.04751899424287115,66.94322374708224,0,0.8793234870264298,253.01435185185184
base,holdout_2021_2023,-0.07867616210624662,-0.02710907399599294,-0.07832293027401982,-1.2886216251327722,1.8523745329378078,0.02619724019869204,0.04324141499584875,102.98309010252107,0,0.8860410256410257,252.55059917355373
base,holdout_2024_2025,-0.04721101657739957,-0.023938975163082632,-0.056171838320208556,-0.8966298674450595,1.952373494254466,0.025770209961265153,0.045914267315082594,68.33958438361549,0,0.8826068485002975,252.0123148148148
base,final_2026h1,-0.0026942454894151036,-0.005489797383312567,-0.020032253518862175,-0.2259770705898653,1.7196260088773967,0.026166773525939185,0.03902045782332996,14.487452211646305,0,0.8863552311435523,250.97668994413408
base,full,-0.14655459525227887,-0.007093322249532963,-0.2709789950825876,-0.07458934900010973,1.7729177043938829,0.02508631978406217,0.06624133977969397,798.4321700174031,0,0.8793234870264298,247.10355337596852
stress,development_2006_2010,0.20954025819770483,0.038850813931563755,-0.05890069009412813,0.3381729226129661,1.6411381244547965,0.02411459658452569,0.038941121557644856,344.72785735221817,0,0.863040476190476,252.24372325836532
stress,validation_2011_2014,-0.0420789524479348,-0.010711590491771728,-0.07802468895889514,-0.5036675119787756,1.6094416196183345,0.026684266122983115,0.04002916514764856,275.8898561940313,0,0.865295089707271,226.46037037037036
stress,validation_2015_2018,-0.0882927979504664,-0.022874617058642133,-0.10975342973626101,-0.7809407766251124,2.066231110586279,0.02615550789436189,0.06624133977969397,327.46669472814216,0,0.8603149606299212,252.34026045236465
stress,bridge_2019_2020,-0.03283340807453983,-0.016587156120048463,-0.051578413450159566,-0.6033574727413172,1.7059848341930894,0.02415763887802708,0.04751899424287114,126.7240344032015,0,0.8572528051315331,253.01435185185184
stress,holdout_2021_2023,-0.08879828778188903,-0.030707141917740488,-0.08842392359385454,-1.4628991074899105,1.8523745329378078,0.02619724019869204,0.04324141499584875,193.22651514391143,0,0.8643670816950635,252.55059917355373
stress,holdout_2024_2025,-0.05460864893070849,-0.027743237826579392,-0.060850741672417885,-1.041559413328088,1.952373494254466,0.025770209961265153,0.045914267315082594,127.01934073187063,0,0.8614682640836095,252.0123148148148
stress,final_2026h1,-0.004374032371941561,-0.008904734226677036,-0.02098136114678406,-0.37204399338205535,1.7196260088773963,0.026166773525939182,0.03902045782332997,26.79913611000975,0,0.8648464912280701,250.97668994413408
stress,full,-0.21134006353255264,-0.010608182086285556,-0.3149829577239417,-0.12672324394031478,1.7729177043938829,0.02508631978406217,0.06624133977969397,1535.4670812501756,0,0.8572528051315331,247.10355337596852
severe,development_2006_2010,0.013674194158303399,0.0027248014362906137,-0.16683741857173273,0.07916993937658938,1.6285291631480316,0.024076904130567938,0.03894112155764486,929.899792700659,0,0.8317809523809524,252.24372325836532
severe,validation_2011_2014,-0.09002100731922291,-0.023354444614603453,-0.11974958301242467,-0.9616389862337205,1.598193432817498,0.02670205284519688,0.04002916514764855,669.0076321847054,0,0.8333437559943271,226.46037037037036
severe,validation_2015_2018,-0.13542960842822882,-0.035774181965336105,-0.15592462427702192,-1.2394538981545176,2.061691668178077,0.026128021190160822,0.06624133977969397,746.5990569897368,0,0.829265091863517,252.34026045236465
severe,bridge_2019_2020,-0.0722982590332788,-0.03690086981631535,-0.07254512611061803,-1.3683315577773314,1.70701962560237,0.024170368968139667,0.04751899424287114,276.59318278496073,0,0.8251821232366363,253.01435185185184
severe,holdout_2021_2023,-0.13143333776257893,-0.04616109206141461,-0.13119163786405685,-2.181103757870579,1.849193544333476,0.026176698833415078,0.043241414995848756,405.86311883101257,0,0.8314568487727634,252.55059917355373
severe,holdout_2024_2025,-0.07596038912338299,-0.03880755294667815,-0.07724941759667048,-1.421256046771929,1.9455244370253229,0.025780865532505116,0.045914267315082594,254.9777840630586,0,0.8303296796669215,252.0123148148148
severe,final_2026h1,-0.009090642400971682,-0.018461388155630032,-0.02265113371617422,-0.7671416670727869,1.6840108617336702,0.02616623867186046,0.03902045782332996,52.11174753898564,0,0.8330506822612086,250.97668994413408
severe,full,-0.4783482159538244,-0.028808637803034776,-0.516387488720025,-0.3854279239354528,1.7674646122821258,0.02506469821401257,0.06624133977969397,3674.469969812398,0,0.8251821232366363,247.10355337596852
extreme,development_2006_2010,-0.4529577516975878,-0.11384061463566852,-0.504343218843887,-0.6995392518525627,1.4485612058128459,0.02386143549845065,0.03936934360294144,1319.3438136523498,0,0.7755927475592748,252.24372325836532
extreme,validation_2011_2014,-0.5596957883861393,-0.18575183644230142,-0.5712496651565304,-2.3197525274494653,1.3970456213561366,0.026696171488622775,0.04002916514764856,493.3633645026526,0,0.7790185779593424,226.46037037037036
extreme,validation_2015_2018,-0.27390143419365254,-0.07699942323999687,-0.2845615372544379,-2.7020664324180235,2.0135112978037633,0.026064560519741882,0.06624133977969397,392.4559841335414,0,0.7771653543307087,252.34026045236465
extreme,bridge_2019_2020,-0.1173062141498048,-0.06060154594949141,-0.11757297751775198,-2.2762253365373253,1.6917652654780782,0.024204559615433666,0.04751899424287115,130.6523849728413,0,0.7710407594468429,253.01435185185184
extreme,holdout_2021_2023,-0.20200713817737181,-0.07289014893647061,-0.20175395430876175,-3.4138048125594147,1.8152607831777274,0.02617583246923685,0.04324141499584876,178.3823050252856,0,0.778926387068589,252.55059917355373
extreme,holdout_2024_2025,-0.12383813031208113,-0.06409084499741691,-0.12479254174105858,-2.3505525384986035,1.9397210031807575,0.02581431456816297,0.0459142673150826,105.83085748855532,0,0.7778479407721488,252.0123148148148
extreme,final_2026h1,-0.026991264246008506,-0.05430156249243567,-0.032356345068080605,-2.3565598525465092,1.6340052699768242,0.026122236991566863,0.03902045782332997,21.047528812621504,0,0.7794590643274855,250.97668994413408
extreme,full,-0.9182373013157499,-0.10638129545128083,-0.9183395125654322,-1.245264602342486,1.6645201372966838,0.02500698304828637,0.06624133977969397,3377.8685444866214,0,0.7710407594468429,247.10355337596852
