policy,full_cagr_pct,full_drawdown_pct,later_return_pct,later_drawdown_pct,later_fills,later_invested_days,later_okx_return_pct
core_weekly,15.046013817733561,-14.962395424773046,8.642288466009497,-7.3561574193716,130,145,8.666350433481561
idle_trend05,15.080074532958964,-17.04710452441949,7.761966672167486,-7.378814168681924,180,390,7.383878801686583
idle_trend10,15.074765512366039,-19.324831482272387,6.820174935515899,-8.001998189644011,194,390,6.050379989683652
idle_trend20,14.95684894992757,-23.897455404262757,4.909110742844591,-10.237189041502305,202,390,3.3835213979317658
idle_vol10,15.683872457912539,-22.33474879492655,4.8428512877921825,-12.44060175876246,207,390,1.2124755423420508
idle_breadth10,14.19716766856476,-19.015546842993857,7.560178996346267,-7.4367668573481645,161,215,7.579033936018886
idle_btc10,16.459076838417943,-15.625860361586152,7.239768919964806,-10.438254227256849,190,607,7.262418585681507
idle_trend10_daily,13.060544376692906,-23.015937045491665,6.613875648110157,-9.249737390691948,834,400,6.627128884808076
always_blend10,20.748030665904782,-24.52803498300119,8.97126468833167,-9.336311983953582,195,390,8.189425662537886
sleeve_trend10_only,-0.10014551374862846,-8.371100484233718,-1.8638831950022694,-3.338870617744949,89,245,-2.583530119201205
sleeve_btc10_only,1.121368989814231,-10.734761582328623,-1.3782860327474222,-5.928172439506341,61,462,-1.3792077348533383
cash,0,0,0,0,0,0,0
pr132_budget25_every3,20.919871464075214,-13.768386716316062,4.666547368780183,-8.081516668642507,227,151,4.874040505893351
