period,horizon_hours,matched_observations,base_MSE,boundary_MSE,shifted_phase_MSE,error_reduction_vs_base_pct
2023_2024,4,34680,1.2251615431660736,1.224410730079865,1.2240545856269534,0.06128278269887207
2023_2024,12,34648,1.3549287362507663,1.355342450948461,1.3560786681671368,-0.030534055897256517
2025_Aug2026,4,29174,1.1742472869259322,1.1717401842791204,1.172846837999456,0.21350721221380128
2025_Aug2026,12,29158,1.3159146863097317,1.3149951531407664,1.314362930007631,0.06987787115166219
