year,V75_original,V171_funding
2021,1.0440158280864416,
2022,0.010811554628625153,
2023,0.14851914071837413,0.0017306714197269368
2024,0.41955220302516816,0.004205280079101703
2025,0.23816495433728968,0.0
2026,0.044255550838900204,0.0
