strategy_id,period,surprise_bucket,days,compound_return,log_return_contribution,dollar_pnl,mean_daily_return,annualized_sharpe,positive_day_rate,negative_day_rate,worst_day,return_q05,turnover,average_daily_turnover,log_return_per_turnover,costs,funding_pnl,price_pnl,average_gross,max_gross,max_stress_gross,rebalance_events,risk_reductions,forced_exits,novelty_days,novelty_share,state_entry_days
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,high,95,0.08372467467695618,0.08040388060608403,1073.9957503885998,0.0008572795847367295,3.5392812002151266,0.5052631578947369,0.49473684210526314,-0.010385991713998455,-0.006051378887897851,0.38836736720744647,0.004088077549552068,0.20703047525395274,15.65731520811958,10.977171631753675,1078.6758939648305,0.48472265091844124,0.5975498222787333,0.5970313470971098,2,0,0,4,0.042105263157894736,95
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,low,727,0.3827510600651248,0.3240750365277749,4210.0279968519735,0.00046643116388104774,1.393291688903878,0.5543328748280605,0.40990371389270974,-0.06411163739741577,-0.008776521090119038,10.444469823086894,0.014366533456790776,0.03102838554920479,428.97974405037553,17.128979500267285,4621.878761402111,0.47353881412009163,0.627557557834669,0.6487826328668371,23,11,0,45,0.061898211829436035,0
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,medium,272,0.12344508990014476,0.11639993730569362,1551.0418221912787,0.00043982825407473994,1.7267064913365462,0.5404411764705882,0.45955882352941174,-0.020974656700740613,-0.006808533205459366,2.7579830215816674,0.010139643461697307,0.042204733094745366,121.64988368148103,-25.475797183945495,1698.167503056703,0.4604883910160114,0.6123638022029383,0.6111959218778896,9,3,1,5,0.01838235294117647,36
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,unknown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,1
V285_LOW_SKEW_HOURLY_CONTROLLER,final_2026h1,high,19,-0.004040841531617345,-0.0040490277921222,-66.87732948025587,-0.00021041921278589095,-1.6944787254458271,0.42105263157894735,0.5789473684210527,-0.0032924184127496314,-0.0031648175250457043,0.0,0.0,,0.0,0.3001458743847957,-67.17747535464774,0.5040594172254259,0.5769662512326523,0.5793626699834153,0,0,0,1,0.05263157894736842,19
V285_LOW_SKEW_HOURLY_CONTROLLER,final_2026h1,low,104,0.032033465554540105,0.03153109439652567,529.0471581758611,0.0003074521079849167,2.0101765605127606,0.5673076923076923,0.4326923076923077,-0.009081671975413097,-0.0035140005450814194,1.1841623580980176,0.011386176520173246,0.026627340567699182,60.2048087672977,4.225724650817153,585.0262422923423,0.49837169289381794,0.5760870962516347,0.5767066987859153,2,0,0,2,0.019230769230769232,0
V285_LOW_SKEW_HOURLY_CONTROLLER,final_2026h1,medium,58,0.014164805941566798,0.01406542247670402,236.86475338476157,0.0002446301281773428,2.2636639951954014,0.5689655172413793,0.43103448275862066,-0.004830173902739099,-0.0029783421188371295,1.1478171958226862,0.01978995165211528,0.012254061472413098,58.03128508971972,7.234903761967461,287.6611347126631,0.46123108010760216,0.5718575831530447,0.5741576928355892,3,0,0,0,0.0,13
V285_LOW_SKEW_HOURLY_CONTROLLER,holdout_2025,high,29,0.019379308624238763,0.01919392111552811,331.21845793188186,0.0006657496968458253,4.610547319324138,0.5517241379310345,0.4482758620689655,-0.005392812354532817,-0.003454921261291099,0.0,0.0,,0.0,2.056080707485793,329.1623772244149,0.47221968899384686,0.5600625545354782,0.5627997313753714,0,0,0,2,0.06896551724137931,29
V285_LOW_SKEW_HOURLY_CONTROLLER,holdout_2025,low,207,0.030491845422849773,0.030036208093243342,506.5182492347594,0.00015100964780251277,0.8378680311639892,0.48792270531400966,0.5120772946859904,-0.011975985526983646,-0.004948863132885739,1.9745350175095262,0.009538816509707856,0.01521178800420967,100.89330694089867,-39.11437675378926,646.5259329297044,0.49586281579852814,0.6036631430893223,0.602184276359218,5,1,0,13,0.06280193236714976,0
V285_LOW_SKEW_HOURLY_CONTROLLER,holdout_2025,medium,129,-0.07879921387070958,-0.08207725766071006,-1387.9743730948212,-0.0006275356905830347,-2.89151168783341,0.4496124031007752,0.5503875968992248,-0.009905376708962299,-0.006751105917089317,1.2790857899813761,0.009915393720785861,-0.06416868853019243,65.23114749434728,-20.862167329539123,-1301.8810582711737,0.45944923649869146,0.5308817392676413,0.5326718443541208,4,0,0,17,0.13178294573643412,8
V285_LOW_SKEW_HOURLY_CONTROLLER,validation_2024,high,27,-0.006103409073480729,-0.006122111010518764,-116.27397562603619,-0.00021173241904528763,-0.7273043314075327,0.5555555555555556,0.4444444444444444,-0.01985487964254906,-0.00769457007797103,0.1111371955278478,0.004116192426957326,-0.05508606710329251,5.820427594992154,-22.11816077839044,-88.33538725249154,0.5055292403947664,0.6111865295241062,0.6141118434555546,0,1,0,7,0.25925925925925924,27
V285_LOW_SKEW_HOURLY_CONTROLLER,validation_2024,low,332,0.01729841737479135,0.017150503104954043,302.4462542729543,7.131562885923327e-05,0.21701314847549463,0.5271084337349398,0.47289156626506024,-0.032464949721352165,-0.00845907658991798,4.84930209633097,0.014606331615454727,0.0035366951293734172,247.88131229741887,-182.47666847477095,732.8042350455179,0.5073427604465126,0.6063583290249457,0.6126518182832972,10,6,0,47,0.14156626506024098,0
V285_LOW_SKEW_HOURLY_CONTROLLER,validation_2024,medium,7,0.0003723164109738025,0.00037224711841749936,6.856464834749204,5.562301085675665e-05,0.44511750232905173,0.42857142857142855,0.5714285714285714,-0.00391726349792898,-0.0030894320795035843,0.2276964698250122,0.03252806711785889,0.0016348392168906978,11.576036316488423,-5.644080984103317,24.07658213530832,0.4929933517128477,0.5391894443900282,0.5421313958173904,1,0,0,0,0.0,5
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,development_2021_2023,high,95,0.036217095574026956,0.035576673596779254,511.6251055569792,0.0003811753670926063,1.9905873008913595,0.5473684210526316,0.45263157894736844,-0.014444165357956673,-0.004729794142182708,4.336185473919959,0.04564405762021009,0.008204601443078392,228.2800499819781,-95.95196951684729,835.8571250557864,0.3141037433393847,0.4693342805664419,,16,0,0,4,0.042105263157894736,95
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,development_2021_2023,low,727,0.7773061285264962,0.5750988070007279,7872.572923960417,0.0008112242810864849,2.437265268584549,0.5240715268225584,0.4759284731774415,-0.04512819330955098,-0.005455081610557632,26.359842231289193,0.03625837996050783,0.021817232514316203,1319.2951580161139,0.7207556644678732,9191.147326312097,0.3286645032928713,0.5289543004468745,,98,0,0,45,0.061898211829436035,0
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,development_2021_2023,medium,272,0.03326664118181327,0.03272527994835074,598.0300756522302,0.00012568268723423432,0.7317862305186272,0.4742647058823529,0.5257352941176471,-0.010963516451156674,-0.0054526433540596775,11.117915128010262,0.04087468797062596,0.0029434727259163274,574.751935566623,-18.555774487834242,1191.337785706684,0.3061561977139937,0.4710122012287877,,43,0,3,5,0.01838235294117647,36
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,development_2021_2023,unknown,1,-0.005225727251737755,-0.005239429120055873,-52.257272517377714,-0.005225727251737755,0.0,0.0,1.0,-0.005225727251737755,-0.005225727251737755,0.3332823140584049,0.3332823140584049,-0.01572069353532425,9.99846942175215,-0.8977044623803921,-41.361098633247046,0.3393376956680525,0.3393376956680525,,1,0,0,1,1.0,1
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,final_2026h1,high,19,0.012676343602356888,0.012596671354175795,209.22521826671436,0.0006663853058065559,4.908120499633176,0.631578947368421,0.3684210526315789,-0.003832247965532387,-0.003096002988004498,1.0212795729540916,0.053751556471267975,0.012334204744484828,51.19735231627311,-16.215643973650646,276.6382145566214,0.34258325755244706,0.4175934340907741,,3,0,0,1,0.05263157894736842,19
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,final_2026h1,low,104,-0.00665721958714822,-0.0066794777132842716,-114.76348764161594,-6.142253229918557e-05,-0.49373046812184285,0.5,0.5,-0.008231590586131987,-0.004215884974962947,3.220875840841642,0.030969960008092712,-0.0020738078843606923,160.94781982963332,-44.02005599407931,90.20438818209493,0.3463503596494257,0.4252060532478884,,13,0,0,2,0.019230769230769232,0
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,final_2026h1,medium,58,-0.018980572976501343,-0.019163016326925093,-318.54714716687886,-0.00032768351497327675,-2.690638088485599,0.3793103448275862,0.6206896551724138,-0.005162141942724574,-0.004140819590749412,2.9451849394074303,0.050779050679438456,-0.006506557897440791,147.8853356033697,-44.23458476768758,-126.4272267958651,0.3542936597607992,0.4234915599087782,,10,0,0,0,0.0,13
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,holdout_2025,high,29,-0.0016084151583804088,-0.001609710046706201,-31.216518721666944,-5.344938165657651e-05,-0.49473207527384827,0.4827586206896552,0.5172413793103449,-0.004269670527693781,-0.0032772972997951342,0.6891282199748734,0.023763042068099084,-0.002335864357383149,36.12759701874627,-2.032532954039935,6.943611251181634,0.3242371664799973,0.4147347895584767,,3,0,0,2,0.06896551724137931,29
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,holdout_2025,low,207,0.017967218267986126,0.017807715515516246,321.7148061000844,9.013952284136475e-05,0.5993181039232123,0.4927536231884058,0.5072463768115942,-0.008243334139970804,-0.004160290327684879,8.004688529501353,0.0386699928961418,0.002224660641058768,424.76262807318153,-27.4992300678461,773.9766642411885,0.3144097484559823,0.429759864955243,,29,0,1,13,0.06280193236714976,0
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,holdout_2025,medium,129,-0.012558443696014545,-0.012637967447906927,-229.97958762967028,-9.136861518957494e-05,-0.47838504348063887,0.4883720930232558,0.5116279069767442,-0.009208846928064673,-0.006062338911884524,5.370671710190083,0.041633114032481267,-0.0023531446585960906,283.76199982049286,-26.89575516493229,80.67816735585131,0.32796540899268684,0.4470116659729281,,20,0,0,17,0.13178294573643412,8
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,validation_2024,high,27,0.02230142454871296,0.022056384254097908,356.73232585729784,0.0008298238426199235,3.0956088141938367,0.5185185185185185,0.48148148148148145,-0.011518779212934316,-0.005043935546996026,0.7034977575758299,0.026055472502808513,0.031352458506906405,38.49440508297263,6.864799110647195,388.36193182961824,0.32610764705277034,0.5016439191055911,,3,0,0,7,0.25925925925925924,27
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,validation_2024,low,332,-0.119566356123643,-0.12734071575243988,-2240.815816262959,-0.00037542322013073715,-1.7923513878847819,0.47289156626506024,0.5271084337349398,-0.04068640394538714,-0.0058464283470328945,14.447094527976585,0.0435153449637849,-0.008814278573857633,793.9912754041019,28.46300959479821,-1475.2875504536296,0.32062986070737637,0.5313769234705499,,48,0,0,47,0.14156626506024098,0
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,validation_2024,medium,7,-0.004053224232948366,-0.004061460810286718,-76.6755318214091,-0.0005723011683696409,-2.5750989798161115,0.5714285714285714,0.42857142857142855,-0.007725555413354179,-0.006557667076466145,0.1746124099612293,0.024944629994461325,-0.023259863438048416,9.784304336336517,1.2656880725621418,-68.15691555764003,0.27566447411315154,0.354082004574044,,1,0,0,0,0.0,5
