strategy_id,period,transition,days,compound_return,log_return_contribution,dollar_pnl,mean_daily_return,annualized_sharpe,positive_day_rate,negative_day_rate,worst_day,return_q05,turnover,average_daily_turnover,log_return_per_turnover,costs,funding_pnl,price_pnl,average_gross,max_gross,max_stress_gross,rebalance_events,risk_reductions,forced_exits,novelty_days,novelty_share,state_entry_days
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,START->calm_risk_on,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,1
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,calm_risk_on->calm_risk_on,104,0.04585785574419733,0.04483746323843431,458.52669767090265,0.0004720461972652784,0.992550461686865,0.38461538461538464,0.36538461538461536,-0.03760641976687851,-0.011104967912525132,1.6442298372610722,0.015809902281356463,0.027269583742090295,50.4938456140916,-16.84837243678893,525.8689157217723,0.3859884616950883,0.627557557834669,0.6487826328668371,2,6,0,16,0.15384615384615385,0
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,calm_risk_on->speculative_risk_on,2,0.007979025254695609,0.007947361153609814,82.50295114519031,0.003990998850013139,12.401556418201126,0.5,0.5,-0.00035647365150726085,7.827359864477916e-05,0.0,0.0,,0.0,0.07473716130140631,82.42821398387639,0.4823055861954065,0.5135267679918124,0.5157729735401734,0,0,0,1,0.5,2
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,deleveraging->deleveraging,236,0.05688380902643263,0.05532477561071604,765.2558903259542,0.00024651076595108616,0.9571783101619383,0.5211864406779662,0.4788135593220339,-0.020974656700740613,-0.006882277027381339,2.2879572177655096,0.009694733973582668,0.024180861067300875,102.94570800341691,-22.387496511688546,890.589094841114,0.45860490840466256,0.6123638022029383,0.6111959218778896,8,2,1,5,0.0211864406779661,0
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,deleveraging->rotation,2,0.002384913338824483,0.0023820739465811765,35.58005942489217,0.0011928089756961802,11.047834539418721,0.5,0.5,-0.00026575395416950087,-0.00011989766118293275,0.0,0.0,,0.0,6.260678535727059,29.319380889169736,0.47023034533901276,0.510625985060004,0.5129320739000724,0,0,0,0,0.0,2
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,deleveraging->transition,36,0.06297880647355764,0.06107516169497759,785.7859318653245,0.0017071317873298038,7.498716401137889,0.6666666666666666,0.3333333333333333,-0.007903166867231026,-0.004513528277623635,0.4700258038161576,0.0130562723282266,0.12994001860984228,18.704175678064118,-3.088300672256944,807.5784082155888,0.4728356659126318,0.6013857079431945,0.6008475325699962,1,1,0,0,0.0,36
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,deleveraging->transition_2,7,0.007668075287416342,0.007638825031723832,140.52257754123093,0.0011032062399814549,4.093898638197808,0.42857142857142855,0.5714285714285714,-0.00691605852080146,-0.005225941698196023,0.0,0.0,,0.0,0.4039840655189535,140.11859347568944,0.5332636145363303,0.5960618875178555,0.596502935898701,0,0,0,0,0.0,7
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,rotation->deleveraging,3,-0.00626207539544553,-0.006281764428752378,-71.23455989972354,-0.0020904406901478914,-20.328897914739073,0.0,1.0,-0.004321773481687274,-0.004022492909997832,0.0,0.0,,0.0,0.3438190301279328,-71.57837892985401,0.4317237735406168,0.4712731002620296,0.4720180218316767,0,0,0,0,0.0,3
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,rotation->rotation,133,0.15651996867352816,0.1454154690111345,1786.4504933720218,0.0011074734300706311,4.049896258976616,0.6090225563909775,0.39097744360902253,-0.01097937645566227,-0.00774948315427042,1.9806144454203252,0.014891837935491167,0.07341937212836722,83.8006158799125,9.041044171707833,1861.2100650804864,0.48953221543929426,0.6026852084694061,0.6025785448685397,4,1,0,14,0.10526315789473684,0
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,rotation->transition_2,8,-0.0014445326348942122,-0.0014455769780071489,-37.92516006787446,-0.00017280243628253755,-0.7779453854553013,0.5,0.5,-0.005338089837765847,-0.0050955818523325865,0.0,0.0,,0.0,3.3431217585692137,-41.26828182648977,0.4704034487318671,0.5262246686090944,0.5270997943905922,0,0,0,0,0.0,8
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,speculative_risk_on->calm_risk_on,1,0.004233700756958614,0.004224763861124749,43.5775681024752,0.004233700756958614,0.0,1.0,0.0,0.004233700756958614,0.004233700756958614,0.0,0.0,,0.0,0.0,43.577568102467026,0.5410147963538351,0.5520975809561962,0.5561952126111062,0,0,0,1,1.0,1
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,speculative_risk_on->rotation,1,0.004357778262479073,0.004348310642015064,46.356284778914414,0.004357778262479073,0.0,1.0,0.0,0.004357778262479073,0.004357778262479073,0.0,0.0,,0.0,0.0,46.35628477892162,0.49445427140730264,0.5131849707398052,0.5100479728820352,0,0,0,1,1.0,1
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,speculative_risk_on->speculative_risk_on,41,0.004811378537897315,0.004799840849503672,52.988820962940736,0.00015406587556863249,0.33911078126147903,0.5609756097560976,0.43902439024390244,-0.031846650640751206,-0.01288669256606656,0.9055051224947807,0.022085490792555625,0.0053007329613768564,28.685628409454832,-1.6096009433723908,83.28405031573388,0.49208430433639044,0.6013719189027547,0.6101870631816512,2,2,0,12,0.2926829268292683,0
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,transition->deleveraging,31,0.029367955928024606,0.0289449788691829,358.3208285025048,0.0009457354127991868,3.6878100398798073,0.5806451612903226,0.41935483870967744,-0.0072368907952660155,-0.006203151481150915,0.0,0.0,,0.0,-1.1141927561664338,359.4350212586162,0.4785236998559487,0.5920634926200533,0.5937933016933703,0,0,0,0,0.0,31
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,transition->rotation,1,-0.0006179733446388669,-0.0006181643688688513,-9.73841959868696,-0.0006179733446388669,0.0,0.0,1.0,-0.0006179733446388669,-0.0006179733446388669,0.0,0.0,,0.0,-0.0010711736209632,-9.737348425060173,0.5476373971701017,0.5508440256728717,0.551150087966863,0,0,0,0,0.0,1
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,transition->transition,240,0.07899701651090218,0.07603192122203786,1014.3961177913861,0.00032676654970853757,1.399001024406801,0.5625,0.4375,-0.015622200425184363,-0.006176771338347108,2.4526261900925497,0.01021927579205229,0.031000207666855586,108.21090975572092,4.088358088301446,1118.5186694587178,0.470415741900237,0.5812240034519394,0.5825982300427536,7,0,0,3,0.0125,0
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,transition->transition_2,12,0.0016176043521675925,0.0016162974394361772,19.937606738491013,0.0001405321227212671,0.7519290102753734,0.4166666666666667,0.5833333333333334,-0.0052925755308617095,-0.00419444719214993,0.1885975361547049,0.015716461346225407,0.008570087777341601,8.578776448014258,-0.33194794439646935,28.8483311308783,0.501935761368618,0.5510545563017628,0.5551167643498424,1,0,0,0,0.0,12
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,transition_2->deleveraging,11,0.025354711631213656,0.025038612853389583,348.6964277540028,0.0023037250802117955,5.933856998268581,0.5454545454545454,0.45454545454545453,-0.010385991713998455,-0.00674566541188204,0.0,0.0,,0.0,-0.9909136699481073,349.6873414239502,0.4777119539523179,0.5975498222787333,0.5970313470971098,0,0,0,0,0.0,11
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,transition_2->rotation,8,-0.003277189270940581,-0.003282571016916202,-40.36117246069625,-0.00040511175804605615,-2.2595440902951607,0.375,0.625,-0.003706430063917354,-0.003693679001994321,0.1997698310527416,0.0249712288815927,-0.016431765495409388,7.078538760105323,1.3544214835989374,-34.637055184150604,0.4760027590420173,0.5730546148771887,0.5727456749286205,1,0,0,1,0.125,8
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,transition_2->transition,8,0.009939808569520899,0.00989073360156528,157.7607584278794,0.0012409340021517917,8.004494781458412,0.625,0.375,-0.0017048398124200892,-0.0016419475879940304,0.0,0.0,,0.0,1.634535141042146,156.12622328681618,0.48111398740640904,0.5429811020486053,0.544715935627664,0,0,0,0,0.0,8
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,transition_2->transition_2,209,0.054419461704931345,0.052990342206664584,897.6658670547222,0.0002773589119529945,0.7740491934685594,0.5933014354066986,0.40669856459330145,-0.06411163739741577,-0.008222495374070092,3.4614942278181675,0.016562173338842908,0.015308516703800833,157.78874439119573,22.45755062041933,1032.9970608254007,0.5068751132140785,0.6156678792852063,0.6210715852097192,8,2,0,0,0.0,0
V285_LOW_SKEW_HOURLY_CONTROLLER,final_2026h1,deleveraging->deleveraging,45,0.004171636500433767,0.004162959348466606,68.76625393633367,9.455261563431842e-05,0.8846168245422272,0.4888888888888889,0.5111111111111111,-0.004830173902739099,-0.003254937312743289,1.1478171958226864,0.025507048796059698,0.003626848738298303,58.03128508971972,8.743619645252355,118.05391938092367,0.4508716111203493,0.5718575831530447,0.5741576928355892,3,0,0,0,0.0,0
V285_LOW_SKEW_HOURLY_CONTROLLER,final_2026h1,deleveraging->transition,13,0.009951654754917699,0.00990246312823741,168.0984994484279,0.0007641292100570424,6.820459122760449,0.8461538461538461,0.15384615384615385,-0.0029115605685832158,-0.002388951603334699,0.0,0.0,,0.0,-1.5087158832848957,169.6072153317395,0.49709078044809296,0.5665569791732392,0.5665855136673315,0,0,0,0,0.0,13
