open_time,trend,breadth,stress,rotation,liquidity,leverage,state_id,state_label,assignment_confidence,nearest_distance,novelty_ratio,novelty_flag,transition_surprise,state_duration_days,equity,gross_mean,gross_max,stress_gross_max,turnover,costs,funding_pnl,price_pnl,rebalance_events,risk_reductions,forced_exits,strategy_id,return,log_return,dollar_pnl,drawdown,period,previous_state,transition,state_changed,duration_bucket,surprise_bucket,novelty_class
2021-01-01 00:00:00+00:00,0.7455365165588467,0.2857142857142857,1.2452092503897905,1.9665292521814604,-1.278287382416983,2.942727329102641,5,calm_risk_on,0.2470892635943101,2.434317236650997,1.399629755848594,True,,1,9947.742727482622,0.3393376956680525,0.3393376956680525,,0.3332823140584049,9.99846942175215,-0.8977044623803921,-41.361098633247046,1,0,0,V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,-0.005225727251737755,-0.005239429120055873,-52.257272517377714,0.0,development_2021_2023,START,START->calm_risk_on,True,1-2,unknown,novel
2021-01-02 00:00:00+00:00,0.8056037589863392,0.380952380952381,1.0318297198820932,2.2464842898691755,-1.2004900193044046,3.0690173755822334,5,calm_risk_on,0.3712951739446535,2.0910377393117843,1.202258520984519,True,0.0421608108242779,2,10071.667570442976,0.3445825674583662,0.3445825674583662,,0.0,0.0,-0.9866194999723752,124.9114624603226,0,0,0,V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,0.012457584233454888,0.01238062700595171,123.924842960354,0.0,development_2021_2023,calm_risk_on,calm_risk_on->calm_risk_on,False,1-2,low,novel
2021-01-03 00:00:00+00:00,0.8704393360603644,0.4285714285714286,1.5898707139185315,2.820654900771229,-0.9399006067238592,3.022313192985151,5,calm_risk_on,0.338650955286956,2.231603132658731,1.283077694512457,True,0.0421608108242779,3,10107.180986794405,0.3749948362214988,0.3749948362214988,,0.0,0.0,-1.7877676928447406,37.30118404427373,0,0,0,V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,0.0035260711399618394,0.0035198691260055256,35.51341635142853,0.0,development_2021_2023,calm_risk_on,calm_risk_on->calm_risk_on,False,3-5,low,novel
2021-01-04 00:00:00+00:00,0.990095452411645,0.5714285714285715,1.7175842651442257,3.0427590406964287,-0.8762788058643296,3.4654501409733167,5,calm_risk_on,0.3581360771593068,2.201062522512736,1.2655181315768909,True,0.0421608108242779,4,10120.477581861009,0.3771694664112615,0.3771694664112615,,0.0,0.0,-2.908885032941264,16.205480099541635,0,0,0,V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,0.0013155592131948168,0.001314694623369441,13.296595066603913,0.0,development_2021_2023,calm_risk_on,calm_risk_on->calm_risk_on,False,3-5,low,novel
2021-01-05 00:00:00+00:00,1.0598098783666954,0.6190476190476191,1.661371850263451,3.107971078098786,-0.7376914584071824,4.0,5,calm_risk_on,0.3966378783720196,2.097658135085786,1.2060649693722951,True,0.0421608108242779,5,10248.45396099144,0.3865220517382554,0.3865220517382554,,0.0,0.0,-1.53335216150869,129.50973129194037,0,0,0,V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,0.012645290510776341,0.012566006504642818,127.97637913043218,0.0,development_2021_2023,calm_risk_on,calm_risk_on->calm_risk_on,False,3-5,low,novel
2021-01-06 00:00:00+00:00,1.0533720965514646,0.5714285714285715,1.6945861536127054,3.144282138736075,-0.6374733556758566,4.0,5,calm_risk_on,0.3842019421590645,2.09302964286273,1.203403781527684,True,0.0421608108242779,6,10262.524327729056,0.4317469923005267,0.4317469923005267,,0.0,0.0,-3.691870765262872,17.76223750287815,0,0,0,V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,0.0013729257887258317,0.0013719841878487115,14.070366737614677,0.0,development_2021_2023,calm_risk_on,calm_risk_on->calm_risk_on,False,6-10,low,novel
2021-01-07 00:00:00+00:00,1.0916482448780085,0.5714285714285715,1.338693084359435,3.18321002764727,-0.5984388684603548,4.0,5,calm_risk_on,0.4601200826508899,1.7654787004411123,1.0150758024676267,True,0.0421608108242779,7,10117.340847029787,0.3444303452415053,0.3444303452415053,,0.498036441562791,15.332777406993872,-2.139509490203864,-127.7111938020721,1,0,0,V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,-0.014146956057096705,-0.014247978141718042,-145.18348069926833,-0.014146956057096705,development_2021_2023,calm_risk_on,calm_risk_on->calm_risk_on,False,6-10,low,novel
2021-01-08 00:00:00+00:00,1.101567564551676,0.6190476190476191,1.5741655669992112,3.242875891107404,-0.5869058364322962,4.0,5,calm_risk_on,0.4039575073029842,1.9808164769595584,1.1388859431656946,True,0.0421608108242779,8,10071.105358569344,0.3434968405051608,0.3434968405051608,,0.0,0.0,0.1651183896827288,-46.40060685012589,0,0,0,V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,-0.004569924959483496,-0.0045803989890860555,-46.235488460442866,-0.018652230488994115,development_2021_2023,calm_risk_on,calm_risk_on->calm_risk_on,False,6-10,low,novel
2021-01-09 00:00:00+00:00,1.0760389133502968,0.6190476190476191,1.4785876244144351,3.278673693759381,-0.5036749730897384,4.0,5,calm_risk_on,0.4203018794353355,1.8663418104048448,1.073067837296614,True,0.0421608108242779,9,10211.757184974407,0.3645278042563278,0.3645278042563278,,0.0,0.0,0.8631137160930807,139.78871268897328,0,0,0,V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,0.013965877765878432,0.013869253484316746,140.65182640506282,-0.004946847494185946,development_2021_2023,calm_risk_on,calm_risk_on->calm_risk_on,False,6-10,low,novel
2021-01-10 00:00:00+00:00,1.151888754091447,0.6190476190476191,0.702848840499054,3.3135309508928628,-0.3214747352943583,4.0,5,calm_risk_on,0.6093402353311808,1.1537994888655192,0.6633860503410643,False,0.0421608108242779,10,10231.237472697789,0.3507237359628865,0.3507237359628865,,0.0,0.0,0.1072857572230741,19.373001966162573,0,0,0,V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,0.001907633267274056,0.0019058160456274804,19.48028772338148,-0.003048650997759972,development_2021_2023,calm_risk_on,calm_risk_on->calm_risk_on,False,6-10,low,familiar
2021-01-11 00:00:00+00:00,1.07864300258302,0.6190476190476191,0.8994764682383943,3.313667568258805,-0.2034229711316874,4.0,5,calm_risk_on,0.5557919532292502,1.267242393592084,0.7286109366683844,False,0.0421608108242779,11,10178.533584393968,0.3099121963985307,0.3099121963985307,,0.0,0.0,0.1499431832637436,-52.853831487085,0,0,0,V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,-0.005151272115857086,-0.005164585658865729,-52.70388830382035,-0.008184218682741329,development_2021_2023,calm_risk_on,calm_risk_on->calm_risk_on,False,11-20,low,familiar
