strategy_id,state_label,days,compound_return,log_return_contribution,dollar_pnl,mean_daily_return,annualized_sharpe,positive_day_rate,negative_day_rate,worst_day,return_q05,turnover,average_daily_turnover,log_return_per_turnover,costs,funding_pnl,price_pnl,average_gross,max_gross,max_stress_gross,rebalance_events,risk_reductions,forced_exits,novelty_days,novelty_share,state_entry_days
V285_LOW_SKEW_HOURLY_CONTROLLER,calm_risk_on,117,0.0006657538279161771,0.0006655323121476792,-290.4417771998578,4.712466475523045e-05,0.09841202768698969,0.37606837606837606,0.39316239316239315,-0.03760641976687851,-0.011877981579078777,1.7449283484135407,0.014913917507808041,0.00038140953624415,55.50524051506471,-30.366712716598204,-204.56982396824063,0.39795659776396897,0.627557557834669,0.6487826328668371,2,7,0,23,0.19658119658119658,3
V285_LOW_SKEW_HOURLY_CONTROLLER,deleveraging,476,0.04762910195353679,0.046529612908124005,444.4144104695097,0.00010781478323297167,0.45858933660733225,0.49369747899159666,0.5063025210084033,-0.020974656700740613,-0.0065382500930109,4.714860203569572,0.009905168494894059,0.009868715274505259,226.20814058748388,-32.63740458086936,703.2599556378301,0.460487823394124,0.6123638022029383,0.6111959218778896,15,2,1,23,0.04831932773109244,72
V285_LOW_SKEW_HOURLY_CONTROLLER,rotation,219,0.08238501694743645,0.07916695534278428,645.0660328086942,0.00038381184979269613,1.0975720210727062,0.5616438356164384,0.4383561643835616,-0.032464949721352165,-0.008850421119004814,3.5971595648533756,0.016425386140882993,0.022008185601855898,163.51923352595705,-27.34624853672076,835.9315148717723,0.49456775366473843,0.6111865295241062,0.6141118434555546,7,5,0,44,0.2009132420091324,18
V285_LOW_SKEW_HOURLY_CONTROLLER,speculative_risk_on,63,0.05618465060091686,0.0546630285216955,825.7070978895517,0.0009045798741781758,2.0072166183938194,0.5714285714285714,0.42857142857142855,-0.031846650640751206,-0.01247703862313121,1.3802946946749413,0.02190943959801494,0.039602433257608524,51.87569210496001,4.1429096138198105,873.4398803805909,0.4946232628452973,0.6013719189027547,0.6101870631816512,3,2,0,28,0.4444444444444444,5
V285_LOW_SKEW_HOURLY_CONTROLLER,transition,652,0.28204557363852784,0.24845690672663867,3670.1459253197427,0.0003891193292082094,1.8587592192294673,0.5613496932515337,0.4386503067484663,-0.015622200425184363,-0.005654395598962159,5.751172844268222,0.008820817245810157,0.04320108497073909,271.77833047932927,-73.62484868370046,4015.5491044831815,0.4876883302840909,0.6013857079431945,0.6008475325699962,16,1,0,10,0.015337423312883436,86
V285_LOW_SKEW_HOURLY_CONTROLLER,transition_2,480,0.11795130515876563,0.11149781847018406,1881.9995397780658,0.0002473257495130596,0.8674969361404876,0.5458333333333333,0.45416666666666666,-0.06411163739741577,-0.0060778745560540965,7.176140679191794,0.01495029308164957,0.015537295526199382,347.03863022834406,-93.9359404737934,2322.974110480148,0.503480924255599,0.6156678792852063,0.6210715852097192,16,5,0,16,0.03333333333333333,49
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,calm_risk_on,117,0.44910182174970664,0.37094393122836505,4486.8985802864845,0.0032586565533454744,4.754975356778955,0.5897435897435898,0.41025641025641024,-0.04512819330955098,-0.008459785371795325,5.795687182763482,0.04953578788686736,0.06400344247901467,217.11315167872897,17.333458421678397,4686.678273543555,0.3432634194925079,0.5289543004468745,,18,0,0,23,0.19658119658119658,3
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,deleveraging,476,0.02874415963880491,0.028338795849702968,469.64017879066887,6.487096527134093e-05,0.3789460405345159,0.48739495798319327,0.5126050420168067,-0.010963516451156674,-0.005286928498368204,19.561335665106057,0.04109524299392029,0.001448714767481565,1013.5458313069066,-122.87551645264503,1606.0615265502247,0.3172557166734044,0.4710122012287877,,74,0,3,23,0.04831932773109244,72
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,rotation,219,-0.06931535091364642,-0.07183478187046191,-1294.4083043547926,-0.00031632551005716605,-1.2553324685259528,0.4885844748858447,0.5114155251141552,-0.04068640394538714,-0.00633932302640744,8.357628148501524,0.038162685609596,-0.008595115814448084,438.1098077098867,-113.16826692349197,-743.130229721371,0.3482066394847252,0.5313769234705499,,31,0,0,44,0.2009132420091324,18
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,speculative_risk_on,63,0.07686504900972414,0.0740540876395785,1114.3332353565638,0.0012040084992419016,3.0598645397286433,0.6031746031746031,0.3968253968253968,-0.024221652381718806,-0.013154738825817126,2.9989071602277724,0.04760170095599639,0.024693691295849907,146.1231711131818,-6.536953813988079,1266.9933602837186,0.34390685868845283,0.5016439191055911,,9,0,0,28,0.4444444444444444,5
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,transition,652,-0.013834474466393994,-0.013931062674333763,-244.86847478331038,-1.7669015065805435e-05,-0.12381685651626055,0.4754601226993865,0.5245398773006135,-0.009004086855124438,-0.004178089238902926,21.57452225318093,0.033089758057025964,-0.0006457182463115622,1154.7701956376552,-1.2647581267121808,911.1664789810259,0.32214790939583837,0.4637780534845413,,83,0,0,10,0.015337423312883436,86
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,transition_2,480,0.14060495539182263,0.13155878427919165,2274.0498783365274,0.000279337263821715,1.6498242124224907,0.5125,0.4875,-0.017563356010855014,-0.0045167407439205215,20.436178245881177,0.04257537134558578,0.006437543394675898,1109.6161730252159,-12.476962051663463,3396.1430134135912,0.3131434694226025,0.4621670804608616,,73,0,1,16,0.03333333333333333,49
