strategy_id,period,state_label,duration_bucket,days,compound_return,log_return_contribution,dollar_pnl,mean_daily_return,annualized_sharpe,positive_day_rate,negative_day_rate,worst_day,return_q05,turnover,average_daily_turnover,log_return_per_turnover,costs,funding_pnl,price_pnl,average_gross,max_gross,max_stress_gross,rebalance_events,risk_reductions,forced_exits,novelty_days,novelty_share,state_entry_days
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,calm_risk_on,1-2,4,0.00613358591803145,0.0061148520447781695,63.13312475287239,0.0015313940707959994,14.554374831275945,0.5,0.0,0.0,0.0,0.0,0.0,,0.0,-1.0277729183049436,64.1608976711724,0.26977020274255326,0.5520975809561962,0.5561952126111062,0,0,0,4,1.0,2
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,calm_risk_on,11-20,20,0.018435402787347937,0.01826753080230684,190.58097274111606,0.0009202038169301207,4.771794764215045,0.25,0.25,-0.005116011846423185,-0.0019488472726313098,0.0,0.0,,0.0,3.9178238882522614,186.66314885284157,0.26265992151587736,0.556342790558639,0.5577172023559331,0,0,0,2,0.1,0
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,calm_risk_on,21-40,40,0.02943028018890868,0.029005523180723268,293.16664950198356,0.0008057375493722152,1.1982191616636888,0.425,0.4,-0.03760641976687851,-0.013461159018731798,1.035505983265137,0.025887649581628425,0.028010966280719717,31.701716291336748,-10.036563499658287,334.9049292929867,0.42816008259138966,0.627557557834669,0.6487826328668371,1,5,0,4,0.1,0
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,calm_risk_on,3-5,6,0.014161431143690388,0.014062094808980052,146.65795453114515,0.0023530477972364037,11.249255343863775,0.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.05614113277178512,146.60181339836947,0.26782616963223144,0.5606212686015708,0.5620649463746697,0,0,0,3,0.5,0
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,calm_risk_on,41+,26,-0.0025458273840072002,-0.0025490735131017605,-26.39401688397811,-7.322838471425401e-05,-0.19478510967032758,0.5,0.5,-0.01227007606853725,-0.011048035696163638,0.6087238539959353,0.02341245592292059,-0.0041875696120145505,18.79212932275485,-14.909785998123485,7.307898436907109,0.4976943646189857,0.6022466845907244,0.608688205878582,1,1,0,1,0.038461538461538464,0
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,calm_risk_on,6-10,10,-0.015713927625547422,-0.015838700224127512,-165.0404188697612,-0.0015646998104975273,-4.739662935587401,0.1,0.4,-0.012742696546633736,-0.01088254346501526,0.0,0.0,,0.0,5.151784958273737,-170.19220382803766,0.2678121769812659,0.576346041357642,0.5782046820683642,0,0,0,4,0.4,0
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,deleveraging,1-2,67,0.06460486638353025,0.06260371283712107,794.1897193611367,0.0009488592561925747,3.3897448509237105,0.5074626865671642,0.4925373134328358,-0.010385991713998455,-0.006478281997313706,0.4453408874510576,0.006646878917179964,0.1405748149365718,19.389885655855508,-3.3648392243060523,816.9444442411716,0.4748396588416065,0.5975498222787333,0.5970313470971098,1,0,0,0,0.0,45
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,deleveraging,11-20,67,0.03466568391631094,0.034078363829258454,469.67277216441653,0.0005184045048709523,2.2373167751404943,0.5373134328358209,0.4626865671641791,-0.009738976685245482,-0.006618283419471493,0.8112680961817045,0.012108479047488126,0.042006291125770735,32.27779927046324,-9.842049915906529,511.7926213508488,0.44667659610920973,0.5678750535941642,0.5671585371330825,2,0,0,2,0.029850746268656716,0
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,deleveraging,21-40,36,-0.02077592720359725,-0.020994783379607463,-239.2808731072364,-0.0005705659058595923,-2.1614946971775284,0.6111111111111112,0.3888888888888889,-0.020974656700740613,-0.007642414328316499,0.1000418339832134,0.0027789398328670386,-0.2098600409817587,3.883423291207386,-3.9704151337255578,-231.42703468230002,0.4634951383646493,0.6000085816391718,0.5998187369452705,0,1,0,0,0.0,0
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,deleveraging,3-5,58,0.07386213753849265,0.0712616242891658,916.4618957769326,0.0012408178313532616,4.909538521827263,0.5172413793103449,0.4827586206896552,-0.007456342339181687,-0.005070045294922459,0.4368915332088211,0.0075326126415313985,0.1631105637725986,29.869604316462304,-7.225638838487311,953.5571389319019,0.4791708596859091,0.5867796308200769,0.5895025944222022,3,0,1,0,0.0,0
