strategy_id,period,novelty_class,days,compound_return,log_return_contribution,dollar_pnl,mean_daily_return,annualized_sharpe,positive_day_rate,negative_day_rate,worst_day,return_q05,turnover,average_daily_turnover,log_return_per_turnover,costs,funding_pnl,price_pnl,average_gross,max_gross,max_stress_gross,rebalance_events,risk_reductions,forced_exits,novelty_days,novelty_share,state_entry_days
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,familiar,1040,0.6668286577210285,0.5109228136755155,6698.469300723145,0.0005090595066176906,1.639614407358245,0.55,0.43365384615384617,-0.06411163739741577,-0.007899357873155799,12.739786386600702,0.012249794602500676,0.040104503966635396,538.0500054043376,6.596353709216345,7229.922952418248,0.4745651761377241,0.627557557834669,0.6487826328668371,32,14,1,0,0.0,127
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,novel,55,0.01000576702644222,0.009956040764037026,136.5962687087067,0.00019542572577167366,0.6899966821550196,0.4727272727272727,0.34545454545454546,-0.014832464226684938,-0.007062668342100076,0.851033825275306,0.015473342277732836,0.011698760341066686,28.236937535638532,-3.965999761140873,168.7992060053952,0.40029870683055546,0.5935973827081161,0.6028455971824704,2,0,0,55,1.0,5
V285_LOW_SKEW_HOURLY_CONTROLLER,final_2026h1,familiar,178,0.03827359028874569,0.037559324473344105,631.4585267688781,0.00021436863088985695,1.5794978434835405,0.550561797752809,0.449438202247191,-0.009081671975413097,-0.0033796456259926446,2.331979553920704,0.013101008729891596,0.01610619801970239,118.23609385701742,11.829597931412305,737.8650226946252,0.48615713491485485,0.5769662512326523,0.5793626699834153,5,0,0,0,0.0,31
V285_LOW_SKEW_HOURLY_CONTROLLER,final_2026h1,novel,3,0.003996127919045496,0.003988164607763387,67.57605531148874,0.0013359951077969168,6.15900998820414,0.6666666666666666,0.3333333333333333,-0.0032376722338329778,-0.0026735050285815244,0.0,0.0,,0.0,-0.06882364424290194,67.64487895573279,0.5410725398789692,0.5500007342307548,0.5510625594962453,0,0,0,3,1.0,1
V285_LOW_SKEW_HOURLY_CONTROLLER,holdout_2025,familiar,333,-0.030774877149042958,-0.031258369151038426,-522.6571231770904,-8.70824782517811e-05,-0.45091027612387397,0.4774774774774775,0.5225225225225225,-0.011975985526983646,-0.005982506501747409,3.2536208074909023,0.009770633055528236,-0.009607256346243978,166.12445443524595,-62.599610223351824,-293.933058518393,0.48169980345547936,0.6036631430893223,0.602184276359218,9,1,0,0,0.0,35
V285_LOW_SKEW_HOURLY_CONTROLLER,holdout_2025,novel,32,-0.0015874978909561051,-0.001588759300900175,-27.580542751089524,-4.337189136622774e-05,-0.23007328213518038,0.5,0.5,-0.005877728716867869,-0.005296611920869315,0.0,0.0,,0.0,4.67914684750924,-32.259689598661225,0.47502783777417085,0.5653771065462501,0.5676344870881127,0,0,0,32,1.0,2
V285_LOW_SKEW_HOURLY_CONTROLLER,validation_2024,familiar,312,0.09114158437919842,0.08722447329726395,1500.814623337299,0.00029273175743204424,1.0897620287077712,0.5448717948717948,0.4551282051282051,-0.028820706434144028,-0.007194965148146487,3.687382965907349,0.01181853514713894,0.02365484521236886,188.38454479060732,-200.7847380590595,1889.9839061875564,0.5073021138404782,0.6063583290249457,0.6055236437271192,9,4,0,0,0.0,25
V285_LOW_SKEW_HOURLY_CONTROLLER,validation_2024,novel,54,-0.07302050563255587,-0.07582383408441119,-1307.7858798556317,-0.0013515358106621818,-2.518205297812929,0.42592592592592593,0.5740740740740741,-0.032464949721352165,-0.019142059939262674,1.500752795776481,0.027791718440305205,-0.05052386662067177,76.89323141829213,-9.454172178205166,-1221.4384762592213,0.5048107389381783,0.6111865295241062,0.6141118434555546,2,3,0,54,1.0,7
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,development_2021_2023,familiar,1040,0.8453087411225629,0.612646602854644,8681.139834626516,0.0006039480584498793,2.1110492600795734,0.5134615384615384,0.48653846153846153,-0.04512819330955098,-0.005242371195885565,39.92005203246639,0.03838466541583307,0.01534683878559045,2043.7599156040862,-90.26898244210778,10815.168732672739,0.3204872942104863,0.5289543004468745,,150,0,3,0,0.0,127
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,development_2021_2023,novel,55,0.02584301536102528,0.025514728571158007,248.8309980257327,0.00048773991112312156,1.336598060783313,0.509090909090909,0.4909090909090909,-0.014146956057096705,-0.01137440603955524,2.2271731148114347,0.04049405663293518,0.011456104782100978,88.56569738238082,-24.415710360486244,361.8124057685825,0.3470179455659551,0.4929012759574098,,8,0,0,55,1.0,5
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,final_2026h1,familiar,178,-0.013081625529594642,-0.01316794360642895,-222.80694881216186,-7.109350644388393e-05,-0.5643693743226618,0.47752808988764045,0.5224719101123596,-0.008231590586131987,-0.004136414067401934,7.187340353203164,0.040378316591029015,-0.0018321024133162729,360.0305077492761,-105.0808065086603,242.30436544570773,0.3491759536514646,0.4252060532478884,,26,0,0,0,0.0,31
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,final_2026h1,novel,3,-7.787604710782054e-05,-7.787907960461738e-05,-1.2784677296185691,-2.5874090076483114e-05,-0.9773773891022945,0.3333333333333333,0.6666666666666666,-0.0005175924826634759,-0.00047112181630539764,0.0,0.0,,0.0,0.6105217732427701,-1.888989502856452,0.30841060440080953,0.3111174847745489,,0,0,0,3,1.0,1
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,holdout_2025,familiar,333,-0.013004541780728063,-0.013089841160791059,-224.57912577926982,-3.49282145742864e-05,-0.2251063168095255,0.4894894894894895,0.5105105105105106,-0.008243334139970804,-0.0050157293625360914,13.052031691839941,0.03919529036588571,-0.0010028968263212812,690.1974147556589,-59.18506929846673,524.8033582750584,0.31885577152613176,0.4470116659729281,,49,0,1,0,0.0,35
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,holdout_2025,novel,32,0.016789260908546863,0.016649879181694152,285.097825528017,0.0005297935391844998,2.2998676871760653,0.5,0.5,-0.009208846928064673,-0.004220987194561193,1.0124567678263694,0.031639273994574044,0.01644502729478471,54.45481015676188,2.7575511116484,336.79508457316274,0.3316956750050926,0.4208830503467958,,3,0,0,32,1.0,2
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,validation_2024,familiar,312,-0.07461850209079098,-0.07754919632354006,-1386.4056066931334,-0.00024357327867661078,-1.478387151973756,0.483974358974359,0.5160256410256411,-0.017563356010855014,-0.005352727645762195,13.100709651231067,0.04198945401035598,-0.0059194653105110835,725.7754398200976,33.20720455352685,-693.8373714265581,0.31395346254013956,0.4367938847963628,,46,0,0,0,0.0,25
V365_DOWNSIDE_VOL_COMPRESSION_ENSEMBLE,validation_2024,novel,54,-0.03129639975707589,-0.031796595985088584,-574.3534155339366,-0.0005601205660028098,-1.4126045405373306,0.4444444444444444,0.5555555555555556,-0.04068640394538714,-0.0072738272848361036,2.2244950442825773,0.04119435267189958,-0.01429384887451764,116.49454500331339,3.386292224480698,-461.2451627550935,0.35611465243596807,0.5313769234705499,,6,0,0,54,1.0,7
