strategy_id,period,state_label,days,compound_return,log_return_contribution,dollar_pnl,mean_daily_return,annualized_sharpe,positive_day_rate,negative_day_rate,worst_day,return_q05,turnover,average_daily_turnover,log_return_per_turnover,costs,funding_pnl,price_pnl,average_gross,max_gross,max_stress_gross,rebalance_events,risk_reductions,forced_exits,novelty_days,novelty_share,state_entry_days
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,calm_risk_on,106,0.05028570493973268,0.04906222709955908,502.10426577337785,0.00050308023842026,1.0671298493785921,0.3867924528301887,0.3584905660377358,-0.03760641976687851,-0.011048035696163638,1.6442298372610722,0.015511602238312001,0.029839032225133462,50.4938456140916,-16.848372436788928,569.4464838242397,0.3838095737041795,0.627557557834669,0.6487826328668371,2,6,0,18,0.16981132075471697,2
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,deleveraging,281,0.10852089855939319,0.10302660290453611,1401.0385866827382,0.00037923128958404696,1.4448881606837185,0.5231316725978647,0.47686832740213525,-0.020974656700740613,-0.006866257602084924,2.2879572177655096,0.008142196504503593,0.045029951654933086,102.94570800341691,-24.14878390767516,1528.1330785938267,0.46126333058054125,0.6123638022029383,0.6111959218778896,8,2,1,5,0.017793594306049824,45
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,rotation,145,0.15979714892949484,0.14824511821394565,1818.2872455164452,0.0010357137586500555,3.8929243042510726,0.593103448275862,0.4068965517241379,-0.01097937645566227,-0.00734822430294908,2.1803842764730668,0.015037132941193564,0.06799036289774714,90.87915464001783,16.655073017412867,1892.5113271393673,0.488954200586329,0.6026852084694061,0.6025785448685397,5,1,0,16,0.1103448275862069,12
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,speculative_risk_on,43,0.012828793903456705,0.012747202003113484,135.49177210813104,0.00033252787438000487,0.741928801609206,0.5581395348837209,0.4418604651162791,-0.031846650640751206,-0.01247703862313121,0.9055051224947807,0.02105825866266932,0.014077448803374339,28.685628409454832,-1.534863782070985,165.7122642996102,0.4916294802368098,0.6013719189027547,0.6101870631816512,2,2,0,13,0.3023255813953488,2
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,transition,284,0.15835143378826133,0.1469978165185807,1957.94280808459,0.0005274936207434376,2.2763942831456743,0.5774647887323944,0.4225352112676056,-0.015622200425184363,-0.0058275039652536335,2.9226519939087074,0.010291028147565872,0.050296038264202717,126.91508543378504,2.6345925570866484,2082.2233009611227,0.4710238518597285,0.6013857079431945,0.6008475325699962,8,1,0,3,0.01056338028169014,44
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,transition_2,236,0.06268623632105395,0.06079988769981746,1020.2008912665697,0.0002796373824594955,0.811724082064659,0.576271186440678,0.423728813559322,-0.06411163739741577,-0.0074210862453238935,3.6500917639728723,0.01546649052530878,0.016657084706725563,166.36752083921,25.872708500111024,1160.6957036054787,0.5061703419058265,0.6156678792852063,0.6210715852097192,9,2,0,0,0.0,27
V285_LOW_SKEW_HOURLY_CONTROLLER,final_2026h1,deleveraging,58,0.0008781747804493627,0.0008777894105750875,13.834427392921498,1.7168427373975645e-05,0.16119887609391365,0.46551724137931033,0.5344827586206896,-0.004830173902739099,-0.0031815593368804294,1.1478171958226862,0.01978995165211528,0.0007647466981411975,58.03128508971972,9.606186140724537,62.25952634208175,0.45984090785090315,0.5769662512326523,0.5793626699834153,3,0,0,0,0.0,13
V285_LOW_SKEW_HOURLY_CONTROLLER,final_2026h1,transition,115,0.041491613083465564,0.04065392895815666,683.9845181813726,0.0003576026534667936,2.3950495433167474,0.6,0.4,-0.009081671975413097,-0.0033574736047742083,0.7236372063470243,0.006292497446495864,0.056179987155968364,36.7680127049199,2.156157983776416,718.5963729025135,0.4975048569499949,0.5760870962516347,0.5767066987859153,1,0,0,2,0.017391304347826087,16
V285_LOW_SKEW_HOURLY_CONTROLLER,final_2026h1,transition_2,8,1.5770836734091617e-05,1.577071237575346e-05,1.2156365060727694,5.690960676679735e-06,0.03727592277034275,0.5,0.5,-0.003514835514301984,-0.0033001435109795306,0.4605251517509933,0.05756564396887416,3.4245062003216514e-05,23.4367960623778,-0.001569837331545823,24.654002405762572,0.5344195537349101,0.5641195547176924,0.5662622139257996,1,0,0,1,0.125,3
V285_LOW_SKEW_HOURLY_CONTROLLER,holdout_2025,deleveraging,130,-0.07681365060707779,-0.07992416952379477,-1349.6940785718434,-0.0006064474416535758,-2.8540890399307224,0.4230769230769231,0.5769230769230769,-0.009905376708962299,-0.006342451624989804,1.2790857899813761,0.0098391214613952,-0.06248538616394018,65.23114749434728,-13.725483760885552,-1270.7374473168334,0.4583015746050303,0.5308817392676413,0.5326718443541208,4,0,0,18,0.13846153846153847,9
