strategy_id,period,available,peak_date,trough_date,episode_end,max_drawdown,calendar_days_peak_to_trough,calendar_days_episode,episode_metrics,state_occupancy,negative_state_contributors,negative_transition_contributors
V285_LOW_SKEW_HOURLY_CONTROLLER,development_2021_2023,True,2023-05-08 00:00:00+00:00,2023-07-19 00:00:00+00:00,2023-11-19 00:00:00+00:00,-0.07742144395515682,72,196,"{""annualized_sharpe"": 0.20458755220653954, ""average_daily_turnover"": 0.011857614339727119, ""average_gross"": 0.4960621036924055, ""compound_return"": 0.009204577340796211, ""costs"": 109.78976375754655, ""days"": 196, ""dollar_pnl"": 149.51145592771536, ""forced_exits"": 0, ""funding_pnl"": -1.778926331770979, ""log_return_contribution"": 0.00916247338763495, ""log_return_per_turnover"": 0.0039423877234393955, ""max_gross"": 0.6156678792852063, ""max_stress_gross"": 0.6210715852097192, ""mean_daily_return"": 6.623345999788503e-05, ""negative_day_rate"": 0.44387755102040816, ""novelty_days"": 0, ""novelty_share"": 0.0, ""positive_day_rate"": 0.5561224489795918, ""price_pnl"": 261.080146017016, ""rebalance_events"": 7, ""return_q05"": -0.005617301479708875, ""risk_reductions"": 1, ""state_entry_days"": 11, ""turnover"": 2.3240924105865153, ""worst_day"": -0.06411163739741577}","{""deleveraging"": 0.10204081632653061, ""transition"": 0.5102040816326531, ""transition_2"": 0.3877551020408163}","[{""annualized_sharpe"": -0.3569630840657147, ""average_daily_turnover"": 0.012665316443358141, ""average_gross"": 0.4854097024463489, ""compound_return"": -0.00815182125392774, ""costs"": 59.49338124318865, ""days"": 100, ""dollar_pnl"": -132.60975074526687, ""forced_exits"": 0, ""funding_pnl"": 8.070134836134832, ""log_return_contribution"": -0.008185229028818823, ""log_return_per_turnover"": -0.006462711820446669, ""max_gross"": 0.5511204853695, ""max_stress_gross"": 0.5516943798990849, ""mean_daily_return"": -7.407768326557873e-05, ""negative_day_rate"": 0.51, ""novelty_days"": 0, ""novelty_share"": 0.0, ""positive_day_rate"": 0.49, ""price_pnl"": -81.1865043382101, ""rebalance_events"": 3, ""return_q05"": -0.005249399759071, ""risk_reductions"": 0, ""state_entry_days"": 3, ""state_label"": ""transition"", ""turnover"": 1.266531644335814, ""worst_day"": -0.015622200425184363}, {""annualized_sharpe"": 0.2053159943778984, ""average_daily_turnover"": 0.011623331463903146, ""average_gross"": 0.5081123615748139, ""compound_return"": 0.004197609987200546, ""costs"": 41.932619155115574, ""days"": 76, ""dollar_pnl"": 75.75626351304345, ""forced_exits"": 0, ""funding_pnl"": -9.19160239789169, ""log_return_contribution"": 0.004188824598906635, ""log_return_per_turnover"": 0.004741851620998187, ""max_gross"": 0.6156678792852063, ""max_stress_gross"": 0.6210715852097192, ""mean_daily_return"": 9.42818101733876e-05, ""negative_day_rate"": 0.3684210526315789, ""novelty_days"": 0, ""novelty_share"": 0.0, ""positive_day_rate"": 0.631578947368421, ""price_pnl"": 126.88048506601332, ""rebalance_events"": 3, ""return_q05"": -0.0076910202787404125, ""risk_reductions"": 1, ""state_entry_days"": 4, ""state_label"": ""transition_2"", ""turnover"": 0.883373191256639, ""worst_day"": -0.06411163739741577}, {""annualized_sharpe"": 4.985922101010076, ""average_daily_turnover"": 0.00870937874970309, ""average_gross"": 0.5035331299695364, ""compound_return"": 0.013245836859428109, ""costs"": 8.363763359242332, ""days"": 20, ""dollar_pnl"": 206.36494315993878, ""forced_exits"": 0, ""funding_pnl"": -0.6574587700141145, ""log_return_contribution"": 0.013158877817547137, ""log_return_per_turnover"": 0.07554429653203298, ""max_gross"": 0.550522436158583, ""max_stress_gross"": 0.5516542336751539, ""mean_daily_return"": 0.0006612054456482941, ""negative_day_rate"": 0.4, ""novelty_days"": 0, ""novelty_share"": 0.0, ""positive_day_rate"": 0.6, ""price_pnl"": 215.3861652892127, ""rebalance_events"": 1, ""return_q05"": -0.002412159804189667, ""risk_reductions"": 0, ""state_entry_days"": 4, ""state_label"": ""deleveraging"", ""turnover"": 0.1741875749940618, ""worst_day"": -0.004694494287371009}]","[{""annualized_sharpe"": -0.5771509989335102, ""average_daily_turnover"": 0.01305702726119396, ""average_gross"": 0.4858522053101602, ""compound_return"": -0.01244276883166686, ""costs"": 59.49338124318865, ""days"": 97, ""dollar_pnl"": -200.2208458206278, ""forced_exits"": 0, ""funding_pnl"": 9.125395861617667, ""log_return_contribution"": -0.012520828272719888, ""log_return_per_turnover"": -0.009885918230875293, ""max_gross"": 0.5511204853695, ""max_stress_gross"": 0.5516943798990849, ""mean_daily_return"": -0.00012112705257437192, ""negative_day_rate"": 0.5154639175257731, ""novelty_days"": 0, ""novelty_share"": 0.0, ""positive_day_rate"": 0.4845360824742268, ""price_pnl"": -149.85286043906086, ""rebalance_events"": 3, ""return_q05"": -0.00530554121978859, ""risk_reductions"": 0, ""state_entry_days"": 0, ""transition"": ""transition->transition"", ""turnover"": 1.266531644335814, ""worst_day"": -0.015622200425184363}, {""annualized_sharpe"": -57.27962514754923, ""average_daily_turnover"": 0.0, ""average_gross"": 0.44703986640011, ""compound_return"": -0.0037060069861902974, ""costs"": 0.0, ""days"": 2, ""dollar_pnl"": -60.25668428234894, ""forced_exits"": 0, ""funding_pnl"": 0.6452021764549382, ""log_return_contribution"": -0.003712891244082989, ""log_return_per_turnover"": null, ""max_gross"": 0.4593263142287521, ""max_stress_gross"": 0.4610031242333766, ""mean_daily_return"": -0.0018546276515166715, ""negative_day_rate"": 1.0, ""novelty_days"": 0, ""novelty_share"": 0.0, ""positive_day_rate"": 0.0, ""price_pnl"": -60.901886458805805, ""rebalance_events"": 0, ""return_q05"": -0.002248296008140094, ""risk_reductions"": 0, ""state_entry_days"": 2, ""transition"": ""transition->deleveraging"", ""turnover"": 0.0, ""worst_day"": -0.0022920369366538074}, {""annualized_sharpe"": -26.341071928205583, ""average_daily_turnover"": 0.0, ""average_gross"": 0.5402880316039613, ""compound_return"": -0.002834959031774389, ""costs"": 0.0, ""days"": 2, ""dollar_pnl"": -44.62366290699538, ""forced_exits"": 0, ""funding_pnl"": -0.9259917915038308, ""log_return_contribution"": -0.002838985139163691, ""log_return_per_turnover"": null, ""max_gross"": 0.5510545563017628, ""max_stress_gross"": 0.5551167643498424, ""mean_daily_return"": -0.0014182206738148628, ""negative_day_rate"": 1.0, ""novelty_days"": 0, ""novelty_share"": 0.0, ""positive_day_rate"": 0.0, ""price_pnl"": -43.697671115485626, ""rebalance_events"": 0, ""return_q05"": -0.0020728332001864248, ""risk_reductions"": 0, ""state_entry_days"": 2, ""transition"": ""transition->transition_2"", ""turnover"": 0.0, ""worst_day"": -0.0021455679253388205}, {""annualized_sharpe"": 0.10600441082531303, ""average_daily_turnover"": 0.012269072100786654, ""average_gross"": 0.5063264304406435, ""compound_return"": 0.0006381377216901128, ""costs"": 41.932619155115574, ""days"": 72, ""dollar_pnl"": 16.450883209703534, ""forced_exits"": 0, ""funding_pnl"": -7.999860236717649, ""log_return_contribution"": 0.0006379341983935166, ""log_return_per_turnover"": 0.0007221570732591804, ""max_gross"": 0.6156678792852063, ""max_stress_gross"": 0.6210715852097192, ""mean_daily_return"": 4.97451016824271e-05, ""negative_day_rate"": 0.3472222222222222, ""novelty_days"": 0, ""novelty_share"": 0.0, ""positive_day_rate"": 0.6527777777777778, ""price_pnl"": 66.38336260150976, ""rebalance_events"": 3, ""return_q05"": -0.007947918825086041, ""risk_reductions"": 1, ""state_entry_days"": 0, ""transition"": ""transition_2->transition_2"", ""turnover"": 0.883373191256639, ""worst_day"": -0.06411163739741577}, {""annualized_sharpe"": 9.022563211988794, ""average_daily_turnover"": 0.0, ""average_gross"": 0.4894140063075093, ""compound_return"": 0.001978909838990239, ""costs"": 0.0, ""days"": 2, ""dollar_pnl"": 30.806455210738932, ""forced_exits"": 0, ""funding_pnl"": -0.9643795963284609, ""log_return_contribution"": 0.001976954376279429, ""log_return_per_turnover"": null, ""max_gross"": 0.5388831933194762, ""max_stress_gross"": 0.5384654472698939, ""mean_daily_return"": 0.0009900635572504535, ""negative_day_rate"": 0.5, ""novelty_days"": 0, ""novelty_share"": 0.0, ""positive_day_rate"": 0.5, ""price_pnl"": 31.770834807079638, ""rebalance_events"": 0, ""return_q05"": -0.00034409389224028807, ""risk_reductions"": 0, ""state_entry_days"": 2, ""transition"": ""deleveraging->transition"", ""turnover"": 0.0, ""worst_day"": -0.0004923336088503705}]"
V285_LOW_SKEW_HOURLY_CONTROLLER,validation_2024,True,2024-11-11 00:00:00+00:00,2024-12-02 00:00:00+00:00,2024-12-31 00:00:00+00:00,-0.12843348467962978,21,51,"{""annualized_sharpe"": -2.2723661507506763, ""average_daily_turnover"": 0.03602747413845966, ""average_gross"": 0.5007099232450894, ""compound_return"": -0.07022046818828931, ""costs"": 95.54951334217492, ""days"": 51, ""dollar_pnl"": -1286.0261105955178, ""forced_exits"": 0, ""funding_pnl"": 18.8181386696212, ""log_return_contribution"": -0.07280778350666069, ""log_return_per_turnover"": -0.03962541455677121, ""max_gross"": 0.6111865295241062, ""max_stress_gross"": 0.6141118434555546, ""mean_daily_return"": -0.0013621313751357184, ""negative_day_rate"": 0.5098039215686274, ""novelty_days"": 35, ""novelty_share"": 0.6862745098039216, ""positive_day_rate"": 0.49019607843137253, ""price_pnl"": -1209.2947359229586, ""rebalance_events"": 2, ""return_q05"": -0.023100244979155138, ""risk_reductions"": 4, ""state_entry_days"": 6, ""turnover"": 1.8374011810614423, ""worst_day"": -0.032464949721352165}","{""rotation"": 0.47058823529411764, ""speculative_risk_on"": 0.27450980392156865, ""transition_2"": 0.2549019607843137}","[{""annualized_sharpe"": -4.29989728306253, ""average_daily_turnover"": 0.04274846764984668, ""average_gross"": 0.49602434320311223, ""compound_return"": -0.07041147873148479, ""costs"": 53.70316772278696, ""days"": 24, ""dollar_pnl"": -1252.4436645540263, ""forced_exits"": 0, ""funding_pnl"": 11.626104662048933, ""log_return_contribution"": -0.07301324099373645, ""log_return_per_turnover"": -0.07116555380786684, ""max_gross"": 0.6111865295241062, ""max_stress_gross"": 0.6141118434555546, ""mean_daily_return"": -0.0029547470915805008, ""negative_day_rate"": 0.5416666666666666, ""novelty_days"": 19, ""novelty_share"": 0.7916666666666666, ""positive_day_rate"": 0.4583333333333333, ""price_pnl"": -1210.3666014932655, ""rebalance_events"": 1, ""return_q05"": -0.02537200071477939, ""risk_reductions"": 3, ""state_entry_days"": 3, ""state_label"": ""rotation"", ""turnover"": 1.0259632235963203, ""worst_day"": -0.032464949721352165}, {""annualized_sharpe"": -3.7878195152142324, ""average_daily_turnover"": 0.06241830442039399, ""average_gross"": 0.49361672484322905, ""compound_return"": -0.02460535110583235, ""costs"": 41.846345619387954, ""days"": 13, ""dollar_pnl"": -453.06059037575324, ""forced_exits"": 0, ""funding_pnl"": 0.8497887203029992, ""log_return_contribution"": -0.024913121784215026, ""log_return_per_turnover"": -0.030702435787009468, ""max_gross"": 0.6063583290249457, ""max_stress_gross"": 0.6055236437271192, ""mean_daily_return"": -0.0018728488434263712, ""negative_day_rate"": 0.5384615384615384, ""novelty_days"": 2, ""novelty_share"": 0.15384615384615385, ""positive_day_rate"": 0.46153846153846156, ""price_pnl"": -412.06403347661194, ""rebalance_events"": 1, ""return_q05"": -0.01671004373840601, ""risk_reductions"": 1, ""state_entry_days"": 1, ""state_label"": ""transition_2"", ""turnover"": 0.8114379574651219, ""worst_day"": -0.028820706434144028}, {""annualized_sharpe"": 3.500012076968852, ""average_daily_turnover"": 0.0, ""average_gross"": 0.5153288875473495, ""compound_return"": 0.025436708853049262, ""costs"": 0.0, ""days"": 14, ""dollar_pnl"": 419.47814433426174, ""forced_exits"": 0, ""funding_pnl"": 6.342245287269265, ""log_return_contribution"": 0.025118579271290766, ""log_return_per_turnover"": null, ""max_gross"": 0.5663246230254241, ""max_stress_gross"": 0.5719571606165298, ""mean_daily_return"": 0.0018423046450395148, ""negative_day_rate"": 0.42857142857142855, ""novelty_days"": 14, ""novelty_share"": 1.0, ""positive_day_rate"": 0.5714285714285714, ""price_pnl"": 413.1358990469188, ""rebalance_events"": 0, ""return_q05"": -0.010180181518089504, ""risk_reductions"": 0, ""state_entry_days"": 2, ""state_label"": ""speculative_risk_on"", ""turnover"": 0.0, ""worst_day"": -0.013722812239328808}]","[{""annualized_sharpe"": -4.027907396951641, ""average_daily_turnover"": 0.04356314419373679, ""average_gross"": 0.4948918846724536, ""compound_return"": -0.05925014887733957, ""costs"": 47.882740127794804, ""days"": 21, ""dollar_pnl"": -1036.163326010097, ""forced_exits"": 0, ""funding_pnl"": 11.47351409953176, ""log_return_contribution"": -0.06107800776248502, ""log_return_per_turnover"": -0.06676461522574156, ""max_gross"": 0.6041913380579396, ""max_stress_gross"": 0.6126518182832972, ""mean_daily_return"": -0.002818903312626242, ""negative_day_rate"": 0.5714285714285714, ""novelty_days"": 16, ""novelty_share"": 0.7619047619047619, ""positive_day_rate"": 0.42857142857142855, ""price_pnl"": -999.7540999818502, ""rebalance_events"": 1, ""return_q05"": -0.026345610315761214, ""risk_reductions"": 2, ""state_entry_days"": 0, ""transition"": ""rotation->rotation"", ""turnover"": 0.9148260280684726, ""worst_day"": -0.032464949721352165}, {""annualized_sharpe"": -3.876126632974003, ""average_daily_turnover"": 0.06761982978876016, ""average_gross"": 0.49706072503278226, ""compound_return"": -0.024259645041811752, ""costs"": 41.846345619387954, ""days"": 12, ""dollar_pnl"": -447.0451012983249, ""forced_exits"": 0, ""funding_pnl"": -0.14481797058665968, ""log_return_contribution"": -0.024558757717191813, ""log_return_per_turnover"": -0.030265724558796503, ""max_gross"": 0.6063583290249457, ""max_stress_gross"": 0.6055236437271192, ""mean_daily_return"": -0.0019993944730874826, ""negative_day_rate"": 0.5, ""novelty_days"": 1, ""novelty_share"": 0.08333333333333333, ""positive_day_rate"": 0.5, ""price_pnl"": -405.05393770827425, ""rebalance_events"": 1, ""return_q05"": -0.017719265629717512, ""risk_reductions"": 1, ""state_entry_days"": 0, ""transition"": ""transition_2->transition_2"", ""turnover"": 0.8114379574651219, ""worst_day"": -0.028820706434144028}, {""annualized_sharpe"": 0.0, ""average_daily_turnover"": 0.1111371955278478, ""average_gross"": 0.5452596417686121, ""compound_return"": -0.01985487964254906, ""costs"": 5.820427594992154, ""days"": 1, ""dollar_pnl"": -353.6436449479552, ""forced_exits"": 0, ""funding_pnl"": 0.6756037132091237, ""log_return_contribution"": -0.020054636283177236, ""log_return_per_turnover"": -0.18044936430083047, ""max_gross"": 0.6111865295241062, ""max_stress_gross"": 0.6141118434555546, ""mean_daily_return"": -0.01985487964254906, ""negative_day_rate"": 1.0, ""novelty_days"": 1, ""novelty_share"": 1.0, ""positive_day_rate"": 0.0, ""price_pnl"": -348.4988210661409, ""rebalance_events"": 0, ""return_q05"": -0.01985487964254906, ""risk_reductions"": 1, ""state_entry_days"": 1, ""transition"": ""transition_2->rotation"", ""turnover"": 0.1111371955278478, ""worst_day"": -0.01985487964254906}, {""annualized_sharpe"": 0.0, ""average_daily_turnover"": 0.0, ""average_gross"": 0.45228872256859104, ""compound_return"": -0.0003543012874930307, ""costs"": 0.0, ""days"": 1, ""dollar_pnl"": -6.015489077428356, ""forced_exits"": 0, ""funding_pnl"": 0.9946066908896587, ""log_return_contribution"": -0.0003543640670232071, ""log_return_per_turnover"": null, ""max_gross"": 0.4627201245440712, ""max_stress_gross"": 0.4646051312204095, ""mean_daily_return"": -0.0003543012874930307, ""negative_day_rate"": 1.0, ""novelty_days"": 1, ""novelty_share"": 1.0, ""positive_day_rate"": 0.0, ""price_pnl"": -7.010095768337625, ""rebalance_events"": 0, ""return_q05"": -0.0003543012874930307, ""risk_reductions"": 0, ""state_entry_days"": 1, ""transition"": ""rotation->transition_2"", ""turnover"": 0.0, ""worst_day"": -0.0003543012874930307}, {""annualized_sharpe"": 7.494510051994285, ""average_daily_turnover"": 0.0, ""average_gross"": 0.5307168984115911, ""compound_return"": 0.003147935156701349, ""costs"": 0.0, ""days"": 2, ""dollar_pnl"": 51.551475283798936, ""forced_exits"": 0, ""funding_pnl"": -0.6414791902519911, ""log_return_contribution"": 0.0031429907824881064, ""log_return_per_turnover"": null, ""max_gross"": 0.5663246230254241, ""max_stress_gross"": 0.5719571606165298, ""mean_daily_return"": 0.0015767635394056123, ""negative_day_rate"": 0.5, ""novelty_days"": 2, ""novelty_share"": 1.0, ""positive_day_rate"": 0.5, ""price_pnl"": 52.19295447401142, ""rebalance_events"": 0, ""return_q05"": -0.0009812171776737988, ""risk_reductions"": 0, ""state_entry_days"": 2, ""transition"": ""rotation->speculative_risk_on"", ""turnover"": 0.0, ""worst_day"": -0.001265437257349289}]"
V285_LOW_SKEW_HOURLY_CONTROLLER,holdout_2025,True,2025-11-09 00:00:00+00:00,2025-12-31 00:00:00+00:00,2025-12-31 00:00:00+00:00,-0.058776678827987316,52,53,"{""annualized_sharpe"": -5.995543695711137, ""average_daily_turnover"": 0.010780518705751621, ""average_gross"": 0.47070319722416704, ""compound_return"": -0.058703946797889046, ""costs"": 28.87520256973702, ""days"": 53, ""dollar_pnl"": -1027.6418525895715, ""forced_exits"": 0, ""funding_pnl"": -6.487177867783745, ""log_return_contribution"": -0.06049757336018887, ""log_return_per_turnover"": -0.10588207111931051, ""max_gross"": 0.5326192266367663, ""max_stress_gross"": 0.5344662831973643, ""mean_daily_return"": -0.0011344004132474309, ""negative_day_rate"": 0.6415094339622641, ""novelty_days"": 0, ""novelty_share"": 0.0, ""positive_day_rate"": 0.3584905660377358, ""price_pnl"": -992.2794721518403, ""rebalance_events"": 2, ""return_q05"": -0.00602130479652756, ""risk_reductions"": 0, ""state_entry_days"": 7, ""turnover"": 0.5713674914048359, ""worst_day"": -0.00932741227999545}","{""deleveraging"": 0.6415094339622641, ""transition"": 0.3584905660377358}","[{""annualized_sharpe"": -12.115409878933773, ""average_daily_turnover"": 0.010367861891987091, ""average_gross"": 0.4569460104167197, ""compound_return"": -0.06826777066730888, ""costs"": 17.985095397561114, ""days"": 34, ""dollar_pnl"": -1200.0511169479505, ""forced_exits"": 0, ""funding_pnl"": -2.173546292160178, ""log_return_contribution"": -0.07070981316022595, ""log_return_per_turnover"": -0.20059105809200517, ""max_gross"": 0.5308817392676413, ""max_stress_gross"": 0.5326718443541208, ""mean_daily_return"": -0.00207234689279857, ""negative_day_rate"": 0.7058823529411765, ""novelty_days"": 0, ""novelty_share"": 0.0, ""positive_day_rate"": 0.29411764705882354, ""price_pnl"": -1179.8924752582348, ""rebalance_events"": 1, ""return_q05"": -0.006475304404901466, ""risk_reductions"": 0, ""state_entry_days"": 3, ""state_label"": ""deleveraging"", ""turnover"": 0.3525073043275611, ""worst_day"": -0.00932741227999545}, {""annualized_sharpe"": 2.8252011944569353, ""average_daily_turnover"": 0.01151895721459341, ""average_gross"": 0.4953213209848625, ""compound_return"": 0.010264562680491866, ""costs"": 10.890107172175904, ""days"": 19, ""dollar_pnl"": 172.409264358379, ""forced_exits"": 0, ""funding_pnl"": -4.313631575623567, ""log_return_contribution"": 0.01021223980003708, ""log_return_per_turnover"": 0.046661021067442285, ""max_gross"": 0.5326192266367663, ""max_stress_gross"": 0.5344662831973643, ""mean_daily_return"": 0.0005440301291072389, ""negative_day_rate"": 0.5263157894736842, ""novelty_days"": 0, ""novelty_share"": 0.0, ""positive_day_rate"": 0.47368421052631576, ""price_pnl"": 187.61300310639442, ""rebalance_events"": 1, ""return_q05"": -0.004531581614578006, ""risk_reductions"": 0, ""state_entry_days"": 4, ""state_label"": ""transition"", ""turnover"": 0.2188601870772748, ""worst_day"": -0.004958839646891922}]","[{""annualized_sharpe"": -11.1932791645528, ""average_daily_turnover"": 0.011371203365405197, ""average_gross"": 0.4535257045307737, ""compound_return"": -0.05961784350659908, ""costs"": 17.985095397561114, ""days"": 31, ""dollar_pnl"": -1046.1909272250232, ""forced_exits"": 0, ""funding_pnl"": -1.6117268650052063, ""log_return_contribution"": -0.061468936875863134, ""log_return_per_turnover"": -0.17437634942946947, ""max_gross"": 0.5308817392676413, ""max_stress_gross"": 0.5326718443541208, ""mean_daily_return"": -0.001975393146615133, ""negative_day_rate"": 0.6774193548387096, ""novelty_days"": 0, ""novelty_share"": 0.0, ""positive_day_rate"": 0.3225806451612903, ""price_pnl"": -1026.5941049624842, ""rebalance_events"": 1, ""return_q05"": -0.006521579854510573, ""risk_reductions"": 0, ""state_entry_days"": 0, ""transition"": ""deleveraging->deleveraging"", ""turnover"": 0.3525073043275611, ""worst_day"": -0.00932741227999545}, {""annualized_sharpe"": -29.23428959532477, ""average_daily_turnover"": 0.0, ""average_gross"": 0.49228917123816096, ""compound_return"": -0.009198310602749626, ""costs"": 0.0, ""days"": 3, ""dollar_pnl"": -153.86018972292732, ""forced_exits"": 0, ""funding_pnl"": -0.5618194271549717, ""log_return_contribution"": -0.009240876284362824, ""log_return_per_turnover"": null, ""max_gross"": 0.521093623041293, ""max_stress_gross"": 0.5266587377422413, ""mean_daily_return"": -0.003074202270027415, ""negative_day_rate"": 1.0, ""novelty_days"": 0, ""novelty_share"": 0.0, ""positive_day_rate"": 0.0, ""price_pnl"": -153.2983702957506, ""rebalance_events"": 0, ""return_q05"": -0.005051528699910912, ""risk_reductions"": 0, ""state_entry_days"": 3, ""transition"": ""transition->deleveraging"", ""turnover"": 0.0, ""worst_day"": -0.005392812354532817}, {""annualized_sharpe"": 9.548333439076822, ""average_daily_turnover"": 0.0, ""average_gross"": 0.49363129553132445, ""compound_return"": 0.004835472330368245, ""costs"": 0.0, ""days"": 4, ""dollar_pnl"": 79.80322118721597, ""forced_exits"": 0, ""funding_pnl"": -2.360247702359209, ""log_return_contribution"": 0.004823818985226051, ""log_return_per_turnover"": null, ""max_gross"": 0.5182809483476322, ""max_stress_gross"": 0.5206184119486766, ""mean_daily_return"": 0.0012088704178881138, ""negative_day_rate"": 0.25, ""novelty_days"": 0, ""novelty_share"": 0.0, ""positive_day_rate"": 0.75, ""price_pnl"": 82.16346888957304, ""rebalance_events"": 0, ""return_q05"": -0.0004989789154671798, ""risk_reductions"": 0, ""state_entry_days"": 4, ""transition"": ""deleveraging->transition"", ""turnover"": 0.0, ""worst_day"": -0.0006043664845566399}, {""annualized_sharpe"": 1.7523072334277983, ""average_daily_turnover"": 0.014590679138484988, ""average_gross"": 0.49577199443913916, ""compound_return"": 0.005402964464951387, ""costs"": 10.890107172175904, ""days"": 15, ""dollar_pnl"": 92.60604317116304, ""forced_exits"": 0, ""funding_pnl"": -1.9533838732643574, ""log_return_contribution"": 0.005388420814811031, ""log_return_per_turnover"": 0.024620379278523122, ""max_gross"": 0.5326192266367663, ""max_stress_gross"": 0.5344662831973643, ""mean_daily_return"": 0.000366739385432339, ""negative_day_rate"": 0.6, ""novelty_days"": 0, ""novelty_share"": 0.0, ""positive_day_rate"": 0.4, ""price_pnl"": 105.44953421682126, ""rebalance_events"": 1, ""return_q05"": -0.004626527843981099, ""risk_reductions"": 0, ""state_entry_days"": 0, ""transition"": ""transition->transition"", ""turnover"": 0.2188601870772748, ""worst_day"": -0.004958839646891922}]"
